full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
david_raya martín,Arsenal,GK,6.0,5,Brighton,False,90,1,1,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,2,0,6,20.6,0.0,0.0,2.1,0,14,1,0,1,0.00,0.00,0.00,1.31,60,212570,4487209,279598,67028
kepa_arrizabalaga revuelta,Arsenal,GK,4.9,5,Brighton,False,0,0,2,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-378,7555,181,559
illan_meslier,Arsenal,GK,4.9,5,Brighton,False,0,0,3,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-115,3038,86,201
gabriel_dos santos magalhães,Arsenal,DF,8.0,5,Brighton,False,90,1,4,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,6,25.8,13.1,0.0,3.9,6,4,3,9,1,0.00,0.14,0.14,1.31,80,-70779,2494884,48033,118812
jurriën_timber,Arsenal,DF,6.5,5,Brighton,False,59,0,5,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,-6,4.2,2.3,0.0,0.7,0,2,2,2,1,0.00,0.02,0.02,0.61,65,16270,32012,20088,3818
william_saliba,Arsenal,DF,5.9,5,Brighton,False,0,0,6,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-1605,21924,399,2004
myles_lewis-skelly,Arsenal,MD,5.5,5,Brighton,False,0,0,7,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-7916,64229,3227,11143
riccardo_calafiori,Arsenal,DF,5.8,5,Brighton,False,90,1,8,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,3,0,0,0,0,0,0,0,-3,11.2,23.7,20.0,5.5,2,5,3,5,1,0.07,0.03,0.10,1.31,58,183297,5451521,266900,83603
piero_hincapié,Arsenal,DF,5.3,5,Brighton,False,0,0,9,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,53,-13089,98376,2559,15648
benjamin_white,Arsenal,DF,5.5,5,Brighton,False,0,0,10,42,2026-09-19T14:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-218227,573621,21167,239394
