name,position,team,price,stars,factors_assessed,factor_letters,xpts90,form_points,minutes_avg,minutes_share,justice_margin,selected,minutes,appearances,gws_since_app,points,eligible,quality,value,form,minutes_factor,minutes_nailed,justice,crowd
Enzo Fernández,MID,Chelsea,6.500,7,7,QVFMNJC,2.531,26.000,90.000,1.000,-0.050,1630581,3114,36,0.000,157,True,1,1,1,1,1,1,1
Dango Ouattara,MID,Brentford,5.600,7,7,QVFMNJC,2.361,25.000,76.200,0.847,0.390,214480,2271,32,0.000,136,True,1,1,1,1,1,1,1
Marcus Tavernier,MID,Bournemouth,5.300,7,7,QVFMNJC,2.307,19.000,86.400,0.950,1.590,553186,2732,34,0.000,137,True,1,1,1,1,1,1,1
Bruno Guimarães Rodriguez Moura,MID,Newcastle,6.900,7,7,QVFMNJC,2.172,19.000,81.800,0.909,0.570,850581,2456,29,0.000,154,True,1,1,1,1,1,1,1
Junior Kroupi,FWD,Bournemouth,4.700,7,7,QVFMNJC,2.113,26.000,73.200,0.817,-1.180,1010073,1826,39,0.000,140,True,1,1,1,1,1,1,1
Enzo Le Fée,MID,Sunderland,4.800,7,7,QVFMNJC,2.031,27.000,90.000,1.000,0.660,216991,2930,36,0.000,147,True,1,1,1,1,1,1,1
Mikkel Damsgaard,MID,Brentford,5.600,7,7,QVFMNJC,2.025,20.000,69.000,0.767,1.300,98857,2046,33,0.000,113,True,1,1,1,1,1,1,1
William Osula,FWD,Newcastle,5.500,7,7,QVFMNJC,2.022,28.000,70.200,0.780,-0.830,290681,805,24,0.000,76,True,1,1,1,1,1,1,1
Konstantinos Mavropanos,DEF,West Ham,4.500,7,7,QVFMNJC,2.020,18.000,90.000,1.000,-2.340,350546,2532,31,0.000,122,True,1,1,1,1,1,1,1
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,MID,Spurs,5.500,7,7,QVFMNJC,1.993,30.000,73.200,0.813,-0.480,118309,2192,33,0.000,126,True,1,1,1,1,1,1,1
Sven Botman,DEF,Newcastle,4.900,7,7,QVFMNJC,1.949,19.000,90.000,1.000,-0.590,66749,1834,25,0.000,89,True,1,1,1,1,1,1,1
Jack Hinshelwood,MID,Brighton,5.200,7,7,QVFMNJC,1.933,28.000,83.600,0.911,0.320,206955,1736,27,0.000,91,True,1,1,1,1,1,1,1
Nathan Collins,DEF,Brentford,4.900,7,7,QVFMNJC,1.735,15.000,90.000,1.000,-1.660,317537,2971,35,0.000,129,True,1,1,1,1,1,1,1
Mathias Jensen,MID,Brentford,4.900,7,7,QVFMNJC,1.725,21.000,82.800,0.920,1.380,19057,2239,36,0.000,98,True,1,1,1,1,1,1,1
Harry Maguire,DEF,Man Utd,4.400,7,7,QVFMNJC,1.713,27.000,90.000,1.000,-0.860,218782,1649,23,0.000,90,True,1,1,1,1,1,1,1
Mateus Gonçalo Espanha Fernandes,MID,West Ham,5.500,7,7,QVFMNJC,1.690,21.000,90.000,1.000,0.720,84838,3017,36,0.000,135,True,1,1,1,1,1,1,1
Felipe Rodrigues da Silva,DEF,Nott'm Forest,4.300,7,7,QVFMNJC,1.485,17.000,80.000,0.889,-4.780,13893,1340,21,0.000,53,True,1,1,1,1,1,1,1
Karl Darlow,GK,Leeds,4.000,7,7,QVFMNJC,1.390,19.000,90.000,1.000,-3.300,901539,1980,22,0.000,71,True,1,1,1,1,1,1,1
Emiliano Martínez Romero,GK,Aston Villa,5.000,7,7,QVFMNJC,1.343,15.000,90.000,0.800,4.240,572706,2835,32,1.000,120,True,1,1,1,1,1,1,1
Gabriel dos Santos Magalhães,DEF,Arsenal,7.300,6,7,QVFMNJ,2.829,32.000,81.000,0.900,-2.010,5938633,2750,32,0.000,209,True,1,1,1,1,1,1,0
Bryan Mbeumo,MID,Man Utd,8.300,6,7,QVFMJC,2.706,22.000,62.800,0.698,2.760,1959359,2611,33,0.000,148,True,1,1,1,1,0,1,1
Ismaïla Sarr,MID,Crystal Palace,6.400,6,7,QVFMJC,2.523,17.000,60.000,0.722,0.420,723488,2173,28,0.000,117,True,1,1,1,1,0,1,1
Kevin Schade,MID,Brentford,6.800,6,7,QVMNJC,2.353,15.000,71.600,0.796,0.580,173575,2744,35,0.000,125,True,1,1,0,1,1,1,1
Elliot Anderson,MID,Nott'm Forest,5.700,6,7,QVFMNJ,2.345,36.000,75.800,0.842,-2.190,1256150,3332,38,0.000,180,True,1,1,1,1,1,1,0
Kevin Danso,DEF,Spurs,4.200,6,7,QVFMNC,2.198,22.000,90.000,1.000,3.560,27617,1489,24,0.000,63,True,1,1,1,1,1,0,1
Dominic Calvert-Lewin,FWD,Leeds,5.800,6,7,QVFMNJ,2.119,24.000,85.600,0.939,0.440,1792682,2721,35,0.000,142,True,1,1,1,1,1,1,0
William Saliba,DEF,Arsenal,6.300,6,7,QVFMNJ,2.096,29.000,90.000,0.800,-2.500,2240445,2614,31,1.000,137,True,1,1,1,1,1,1,0
Danny Welbeck,FWD,Brighton,6.300,6,7,QVMNJC,2.096,16.000,56.800,0.769,-0.600,1097113,2249,37,0.000,126,True,1,1,0,1,1,1,1
Marcos Senesi Barón,DEF,Bournemouth,5.200,6,7,QVFMNJ,2.089,32.000,90.000,1.000,-5.320,2904597,3288,37,0.000,175,True,1,1,1,1,1,1,0
Iliman Ndiaye,MID,Everton,6.300,6,7,QVMNJC,2.081,10.000,90.000,1.000,1.050,612139,2781,32,0.000,128,True,1,1,0,1,1,1,1
Anton Stach,MID,Leeds,4.800,6,7,QVFMJC,2.020,23.000,82.800,0.650,-0.070,221186,2369,29,1.000,137,True,1,1,1,1,0,1,1
Virgil van Dijk,DEF,Liverpool,6.100,6,7,QVFMNJ,1.985,23.000,90.000,1.000,-1.130,4156531,3420,38,0.000,175,True,1,1,1,1,1,1,0
Alex Scott,MID,Bournemouth,4.900,6,7,QVMNJC,1.978,16.000,90.000,0.750,0.850,276813,2848,37,1.000,136,True,1,1,0,1,1,1,1
Marc Guéhi,DEF,Man City,5.100,6,7,QVFMNJ,1.928,28.000,90.000,0.800,-4.340,4262393,3150,35,1.000,179,True,1,1,1,1,1,1,0
Adam Wharton,MID,Crystal Palace,5.000,6,7,QVFMJC,1.923,18.000,54.200,0.669,0.830,95699,2552,34,0.000,112,True,1,1,1,1,0,1,1
James Tarkowski,DEF,Everton,5.800,6,7,QVFMNJ,1.913,24.000,90.000,1.000,0.960,1651131,3330,37,0.000,170,True,1,1,1,1,1,1,0
Sepp van den Berg,DEF,Brentford,4.400,6,7,QVFMJC,1.870,20.000,73.600,0.618,-1.910,136048,2761,32,0.000,113,True,1,1,1,1,0,1,1
Amad Diallo,MID,Man Utd,6.200,6,7,QVMNJC,1.870,14.000,68.800,0.764,1.420,170364,2339,32,0.000,91,True,1,1,0,1,1,1,1
Kiernan Dewsbury-Hall,MID,Everton,5.300,6,7,QVFMNJ,1.868,19.000,88.600,0.984,-1.420,1019620,2629,31,0.000,151,True,1,1,1,1,1,1,0
Ethan Ampadu,MID,Leeds,4.900,6,7,QVFMNC,1.862,26.000,90.000,1.000,-0.780,78959,3119,35,0.000,134,True,1,1,1,1,1,0,1
Rodrigo Bentancur,MID,Spurs,5.200,6,7,QVFMNC,1.833,18.000,81.400,0.904,0.460,23467,1880,26,0.000,86,True,1,1,1,1,1,0,1
Richarlison de Andrade,FWD,Spurs,6.500,6,7,QVFMNJ,1.803,24.000,78.400,0.871,-0.460,1174529,1954,32,0.000,119,True,1,1,1,1,1,1,0
Jaydee Canvot,DEF,Crystal Palace,4.500,6,7,QVMNJC,1.799,10.000,90.000,0.833,3.880,63307,1331,20,1.000,72,True,1,1,0,1,1,1,1
Jan Paul van Hecke,DEF,Brighton,4.700,6,7,QVFMNJ,1.795,17.000,90.000,1.000,1.540,1386574,3210,36,0.000,148,True,1,1,1,1,1,1,0
Rayan Vitor Simplício Rocha,MID,Bournemouth,5.400,6,7,QVFMNJ,1.744,28.000,68.200,0.883,-1.450,306162,1110,15,0.000,67,True,1,1,1,1,1,1,0
Zian Flemming,FWD,Burnley,5.300,6,7,QVFMNC,1.715,19.000,81.800,0.911,-1.180,114785,1764,29,0.000,99,True,1,1,1,1,1,0,1
Pedro Porro Sauceda,DEF,Spurs,5.200,6,7,QVFMNJ,1.670,23.000,90.000,1.000,3.870,1547038,2793,34,0.000,117,True,1,1,1,1,1,1,0
Mathys Tel,MID,Spurs,6.200,6,7,QFMNJC,1.665,20.000,76.200,0.847,-0.230,69194,1334,31,0.000,78,True,1,0,1,1,1,1,1
Yankuba Minteh,MID,Brighton,5.500,6,7,QVFMNJ,1.663,17.000,78.200,0.875,1.430,326104,2389,34,0.000,117,True,1,1,1,1,1,1,0
Nick Pope,GK,Newcastle,5.000,6,7,QVMNJC,1.654,14.000,90.000,1.000,0.790,592568,2416,27,0.000,96,True,1,1,0,1,1,1,1
Dan Burn,DEF,Newcastle,5.000,6,7,QVFMNJ,1.632,14.000,73.600,0.818,-0.610,466030,2195,29,0.000,93,True,1,1,1,1,1,1,0
Antonín Kinský,GK,Spurs,3.900,6,6,QVFMNC,1.628,17.000,90.000,1.000,1.450,257849,630,7,0.000,20,True,1,1,1,1,1,0,1
Yerson Mosquera Valdelamar,DEF,Wolves,4.300,6,7,QVMNJC,1.594,10.000,86.000,0.800,2.490,12370,2137,27,0.000,61,True,1,1,0,1,1,1,1
Nordi Mukiele,DEF,Sunderland,4.600,6,7,QVFMNJ,1.593,23.000,90.000,1.000,2.250,1135103,2784,32,0.000,151,True,1,1,1,1,1,1,0
Jaka Bijol,DEF,Leeds,3.900,6,7,QVFMNC,1.518,23.000,80.400,0.942,-5.750,170721,1888,25,0.000,99,True,1,1,1,1,1,0,1
Maxim De Cuyper,DEF,Brighton,4.300,6,7,QVFMJC,1.471,22.000,48.800,0.642,0.420,230927,1404,30,0.000,84,True,1,1,1,1,0,1,1
Gianluigi Donnarumma,GK,Man City,5.600,6,7,QFMNJC,1.469,22.000,90.000,0.800,-3.590,1216359,3060,34,1.000,135,True,1,0,1,1,1,1,1
Mads Hermansen,GK,West Ham,4.200,6,7,QVFMNC,1.378,18.000,90.000,1.000,-1.220,137882,1620,18,0.000,76,True,1,1,1,1,1,0,1
Antonee Robinson,DEF,Fulham,4.900,6,7,QFMNJC,1.373,21.000,73.800,0.820,-0.640,123919,1487,22,0.000,65,True,1,0,1,1,1,1,1
Senne Lammens,GK,Man Utd,5.100,6,7,QVFMNC,1.367,21.000,90.000,1.000,-2.980,468325,2880,32,0.000,109,True,1,1,1,1,1,0,1
Calvin Bassey,DEF,Fulham,4.400,6,7,QVFMNC,1.339,17.000,90.000,1.000,-2.780,107329,2532,30,0.000,103,True,1,1,1,1,1,0,1
Bukayo Saka,MID,Arsenal,10.000,5,7,QVFJC,3.100,27.000,62.600,0.496,-1.640,1519927,2218,31,1.000,157,True,1,1,1,0,0,1,1
Bruno Borges Fernandes,MID,Man Utd,10.400,5,7,QFMNJ,3.042,36.000,90.000,1.000,-4.870,6300201,3065,35,0.000,235,True,1,0,1,1,1,1,0
Jurriën Timber,DEF,Arsenal,6.000,5,7,QVFJC,2.936,26.000,72.600,0.000,-1.980,1984727,2452,30,8.000,149,True,1,1,1,0,0,1,1
Cole Palmer,MID,Chelsea,10.300,5,7,QMNJC,2.930,14.000,89.600,0.994,2.310,1655224,1954,26,0.000,114,True,1,0,0,1,1,1,1
Riccardo Calafiori,DEF,Arsenal,5.600,5,7,QVFJC,2.911,22.000,64.800,0.558,-0.470,782847,1697,26,0.000,109,True,1,1,1,0,0,1,1
Anthony Gordon,MID,Newcastle,7.200,5,7,QVFJC,2.743,33.000,83.400,0.000,-0.660,409424,1798,26,6.000,101,True,1,1,1,0,0,1,1
Taiwo Awoniyi,FWD,Nott'm Forest,5.200,5,7,QVFJC,2.539,23.000,42.400,0.471,-1.990,48353,480,17,0.000,43,True,1,1,1,0,0,1,1
Carlos Henrique Casimiro,MID,Man Utd,5.800,5,7,QVFJC,2.455,31.000,88.000,0.578,-2.470,483245,2575,34,1.000,165,True,1,1,1,0,0,1,1
Igor Thiago Nascimento Rodrigues,FWD,Brentford,7.200,5,7,QVMNJ,2.389,13.000,90.000,1.000,0.310,3925479,3282,38,0.000,181,True,1,1,0,1,1,1,0
Antoine Semenyo,MID,Man City,8.000,5,7,QFMNJ,2.195,21.000,73.200,0.813,-0.040,6034289,3200,37,0.000,202,True,1,0,1,1,1,1,0
Leandro Trossard,MID,Arsenal,6.600,5,7,QVFJC,2.183,20.000,64.400,0.600,0.100,236279,1997,31,1.000,119,True,1,1,1,0,0,1,1
Cody Gakpo,MID,Liverpool,7.300,5,7,QMNJC,2.150,14.000,83.800,0.931,-0.710,741010,2736,36,0.000,131,True,1,0,0,1,1,1,1
Fabian Schär,DEF,Newcastle,5.200,5,7,QVFJC,2.113,17.000,87.000,0.000,2.400,146322,1089,16,17.000,51,True,1,1,1,0,0,1,1
Nico O'Reilly,DEF,Man City,5.300,5,7,QVFMJ,2.092,21.000,90.000,0.600,-1.230,2504870,2643,34,1.000,160,True,1,1,1,1,0,1,0
Maxence Lacroix,DEF,Crystal Palace,5.200,5,7,QVMNC,2.044,11.000,84.000,0.778,3.860,927218,3085,35,1.000,154,True,1,1,0,1,1,0,1
Ollie Watkins,FWD,Aston Villa,8.700,5,7,QFMNJ,2.038,40.000,75.800,0.842,-4.440,1706489,2833,37,0.000,167,True,1,0,1,1,1,1,0
Dominik Szoboszlai,MID,Liverpool,7.100,5,7,QFMNJ,2.030,27.000,90.000,1.000,-2.130,2006461,3232,36,0.000,160,True,1,0,1,1,1,1,0
James Garner,MID,Everton,5.200,5,7,QVMNJ,2.011,14.000,90.000,1.000,-0.270,472756,3413,38,0.000,159,True,1,1,0,1,1,1,0
Rodrigo 'Rodri' Hernandez Cascante,MID,Man City,6.300,5,7,QVFJC,1.997,25.000,89.400,0.200,0.210,60542,1510,21,1.000,69,True,1,1,1,0,0,1,1
David Raya Martín,GK,Arsenal,6.200,5,7,QVFMN,1.976,32.000,90.000,0.800,-3.130,4774619,3330,37,1.000,162,True,1,1,1,1,1,0,0
Noah Okafor,MID,Leeds,5.500,5,7,QVFJC,1.937,42.000,57.400,0.178,-4.150,112862,1553,28,3.000,109,True,1,1,1,0,0,1,1
Daniel Muñoz Mejía,DEF,Crystal Palace,5.900,5,7,QVMNJ,1.897,10.000,70.200,0.817,2.260,1201329,2400,29,0.000,136,True,1,1,0,1,1,1,0
Xavi Simons,MID,Spurs,6.300,5,7,QVFJC,1.887,17.000,42.800,0.138,-0.440,140702,1747,28,4.000,80,True,1,1,1,0,0,1,1
Malick Thiaw,DEF,Newcastle,4.900,5,7,QVMNJ,1.797,9.000,90.000,1.000,-0.550,618636,2963,35,0.000,126,True,1,1,0,1,1,1,0
Pascal Struijk,DEF,Leeds,4.200,5,7,QVMJC,1.794,13.000,83.000,0.653,0.350,245137,2935,34,0.000,108,True,1,1,0,1,0,1,1
Ross Barkley,MID,Aston Villa,4.800,5,7,QVFMC,1.766,17.000,61.800,0.687,-0.590,11116,844,21,0.000,56,True,1,1,1,1,0,0,1
James Hill,DEF,Bournemouth,4.200,5,7,QVFMN,1.753,21.000,90.000,1.000,-3.780,965625,2102,29,0.000,110,True,1,1,1,1,1,0,0
Valentín Castellanos,FWD,West Ham,5.500,5,7,VMNJC,1.700,17.000,71.800,0.798,-0.460,44464,1384,18,0.000,61,True,0,1,0,1,1,1,1
Crysencio Summerville,MID,West Ham,5.400,5,7,QVMNJ,1.692,12.000,89.400,0.993,0.820,219509,2470,31,0.000,110,True,1,1,0,1,1,1,0
Kenny Tete,DEF,Fulham,4.500,5,7,QVFJC,1.618,15.000,87.600,0.000,1.350,28542,1791,22,8.000,81,True,1,1,1,0,0,1,1
Curtis Jones,MID,Liverpool,5.400,5,7,VFMNC,1.612,22.000,89.200,0.991,-0.740,14943,1923,34,0.000,81,True,0,1,1,1,1,0,1
Matthijs de Ligt,DEF,Man Utd,4.900,5,7,QVFJC,1.586,15.000,90.000,0.000,0.940,231796,1170,13,25.000,43,True,1,1,1,0,0,1,1
Granit Xhaka,MID,Sunderland,5.100,5,7,VFMNJ,1.584,18.000,90.000,1.000,0.750,423290,2901,34,0.000,124,True,0,1,1,1,1,1,0
Tanaka Ao,MID,Leeds,4.800,5,7,VFMNC,1.572,18.000,77.000,0.825,0.390,27475,1307,28,0.000,67,True,0,1,1,1,1,0,1
Lisandro Martínez,DEF,Man Utd,4.800,5,7,QVFMC,1.551,14.000,83.000,0.600,-1.120,58383,1229,18,0.000,51,True,1,1,1,1,0,0,1
Abdukodir Khusanov,DEF,Man City,5.400,5,7,QFMJC,1.545,26.000,90.000,0.600,-2.040,96393,1427,21,1.000,67,True,1,0,1,1,0,1,1
Conor Bradley,DEF,Liverpool,4.900,5,7,QVFJC,1.427,22.000,66.400,0.000,0.120,18689,928,15,17.000,42,True,1,1,1,0,0,1,1
Giorgi Mamardashvili,GK,Liverpool,4.100,5,7,QVFMC,1.414,15.000,83.400,0.400,3.050,91315,867,10,1.000,34,True,1,1,1,1,0,0,1
Bart Verbruggen,GK,Brighton,4.600,5,7,QVFMN,1.374,18.000,90.000,1.000,0.930,1216101,3420,38,0.000,130,True,1,1,1,1,1,0,0
Lewis Dunk,DEF,Brighton,4.500,5,7,VFMNJ,1.319,19.000,72.400,0.756,-1.320,126605,2837,33,0.000,100,True,0,1,1,1,1,1,0
James Justin,DEF,Leeds,4.000,5,7,VFMNJ,1.180,16.000,90.000,1.000,-3.150,295481,1893,29,0.000,94,True,0,1,1,1,1,1,0
Santiago Ignacio Bueno,DEF,Wolves,4.400,5,7,FMNJC,1.121,17.000,90.000,1.000,2.560,25402,2552,29,0.000,92,True,0,0,1,1,1,1,1
Phil Foden,MID,Man City,8.000,4,7,QFJC,2.368,17.000,50.200,0.558,-0.320,1020093,2078,33,0.000,131,True,1,0,1,0,0,1,1
Declan Rice,MID,Arsenal,7.200,4,7,QVFM,2.314,17.000,84.600,0.740,1.260,3034823,3093,36,1.000,184,True,1,1,1,1,0,0,0
Hugo Ekitiké,FWD,Liverpool,9.000,4,7,QFJC,2.281,21.000,57.600,0.000,-0.590,2050989,1797,28,7.000,125,True,1,0,1,0,0,1,1
João Pedro Junqueira de Jesus,FWD,Chelsea,7.400,4,7,QVNJ,2.164,15.000,85.600,0.750,0.160,4542473,2658,35,0.000,177,True,1,1,0,0,1,1,0
Piero Hincapié,DEF,Arsenal,5.100,4,7,QVFC,2.153,17.000,60.800,0.440,-1.390,116550,1787,25,0.000,87,True,1,1,1,0,0,0,1
Yéremy Pino Santos,MID,Crystal Palace,5.800,4,7,QVJC,2.084,8.000,45.000,0.417,0.930,23279,2074,34,0.000,77,True,1,1,0,0,0,1,1
Morgan Gibbs-White,MID,Nott'm Forest,7.600,4,7,QFMJ,2.069,53.000,75.600,0.644,-5.010,1234423,3101,37,0.000,188,True,1,0,1,1,0,1,0
Mats Wieffer,MID,Brighton,4.800,4,7,QVFC,2.065,23.000,66.400,0.297,-1.030,36924,1901,26,0.000,94,True,1,1,1,0,0,0,1
Rio Ngumoha,MID,Liverpool,4.300,4,7,QVJC,2.065,12.000,52.200,0.540,-0.270,190522,547,19,0.000,43,True,1,1,0,0,0,1,1
Norberto Bercique Gomes Betuncal,FWD,Everton,5.100,4,7,QVFC,2.046,21.000,56.400,0.467,-3.480,431598,1551,37,0.000,104,True,1,1,1,0,0,0,1
Diego Gómez Amarilla,MID,Brighton,4.900,4,7,QVJC,2.033,14.000,55.800,0.231,0.140,48540,2117,32,0.000,97,True,1,1,0,0,0,1,1
Benjamin Sesko,FWD,Man Utd,7.200,4,7,QVJC,2.029,17.000,64.000,0.293,-0.980,603700,1630,30,3.000,111,True,1,1,0,0,0,1,1
Veljko Milosavljevic,DEF,Bournemouth,4.400,4,6,QVFC,1.952,14.000,54.400,0.000,1.920,4034,367,7,16.000,19,True,1,1,1,0,0,0,1
Joachim Andersen,DEF,Fulham,4.400,4,7,QVFC,1.926,19.000,82.200,0.513,-2.860,367183,2882,33,2.000,123,True,1,1,1,0,0,0,1
Jérémy Doku,MID,Man City,6.500,4,7,QFMJ,1.892,30.000,59.800,0.664,-2.720,863100,1773,30,0.000,120,True,1,0,1,1,0,1,0
Emiliano Buendía Stati,MID,Aston Villa,5.300,4,7,QVFC,1.828,17.000,53.600,0.596,-0.150,48382,1753,36,0.000,102,True,1,1,1,0,0,0,1
Chris Richards,DEF,Crystal Palace,4.400,4,7,QVJC,1.802,6.000,62.600,0.580,3.850,284797,2825,33,1.000,128,True,1,1,0,0,0,1,1
Levi Samuels Colwill,DEF,Chelsea,4.700,4,5,QVMC,1.749,8.000,75.000,0.625,0.760,20220,225,3,0.000,8,True,1,1,0,1,0,0,1
Cristian Romero,DEF,Spurs,5.000,4,7,QVJC,1.734,10.000,64.400,0.000,5.740,374493,1869,23,6.000,91,True,1,1,0,0,0,1,1
Ayden Heaven,DEF,Man Utd,3.700,4,7,QVFC,1.732,15.000,56.600,0.400,0.220,339260,920,17,3.000,42,True,1,1,1,0,0,0,1
Brenden Aaronson,MID,Leeds,5.400,4,7,QVMC,1.707,7.000,62.400,0.636,-0.950,96887,2449,37,0.000,126,True,1,1,0,1,0,0,1
Ibrahima Konaté,DEF,Liverpool,5.400,4,7,QVMN,1.649,8.000,86.000,0.956,1.450,493007,3090,36,0.000,129,True,1,1,0,1,1,0,0
