date,week,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
25-09-04,1,Eagles,Cowboys,-6.5,24,20,-2.0,0.0,-3.9,-1.0,0.0,-9.2,-1,,
25-09-05,1,Chargers,Chiefs,3.5,27,21,1.0,0.0,5.3,2.0,0.0,-0.5,1,,
25-09-07,1,Falcons,Buccaneers,2.5,20,23,1.0,0.0,-0.7,1.0,0.0,1.8,0,,
25-09-07,1,Jaguars,Panthers,-2.5,26,10,1.0,0.0,-2.0,-1.0,0.0,-6.2,3,Jaguars,W
25-09-07,1,Browns,Bengals,4.5,16,17,2.0,0.0,-7.7,1.0,0.0,3.8,-1,,
25-09-07,1,Colts,Dolphins,-1.5,33,8,-1.0,0.0,0.6,3.0,0.0,-2.0,-1,,
25-09-07,1,Saints,Cardinals,5.5,13,20,-1.0,0.0,-8.8,-3.0,0.0,0.3,-1,,
25-09-07,1,Patriots,Raiders,-2.5,13,20,1.0,0.0,-3.0,1.0,0.0,-4.6,-1,,
25-09-07,1,Commanders,Giants,-5.5,21,6,4.0,0.0,-1.0,1.0,0.0,-6.5,0,,
25-09-07,1,Jets,Steelers,2.5,32,34,-3.0,0.0,-2.7,0.0,0.0,-2.2,0,,
25-09-07,1,Broncos,Titans,-9.5,20,12,0.0,0.0,5.9,0.0,0.0,-1.2,-1,,
25-09-07,1,Seahawks,49ers,1.5,13,17,-1.0,0.0,8.4,3.0,0.0,-0.4,-1,,
25-09-07,1,Packers,Lions,-1.5,27,13,4.0,0.0,8.0,5.0,0.0,7.6,-1,,
25-09-07,1,Rams,Texans,-2.5,14,9,2.0,0.0,0.3,0.0,0.0,-0.9,0,,
25-09-07,1,Bills,Ravens,-1.5,41,40,-1.0,0.0,4.7,3.0,0.0,8.4,-3,Ravens,W
25-09-08,1,Bears,Vikings,2.5,24,27,0.0,0.0,0.7,2.0,0.0,7.8,-2,,
25-09-11,2,Packers,Commanders,-2.5,27,18,-1.0,1.0,6.8,0.0,1.0,-3.3,0,,
25-09-14,2,Jets,Bills,8.5,10,30,1.0,1.0,-4.0,-1.0,-1.0,4.8,-1,,
25-09-14,2,Lions,Bears,-4.5,52,21,1.0,-1.0,8.3,0.0,-1.0,-0.3,2,,
25-09-14,2,Bengals,Jaguars,-5.5,31,27,-2.0,-1.0,3.6,-2.0,1.0,-3.6,3,Bengals,L
25-09-14,2,Ravens,Browns,-12.5,41,17,1.0,1.0,7.9,2.0,1.0,-5.6,1,,
25-09-14,2,Cowboys,Giants,-4.5,40,37,1.0,1.0,-10.2,0.0,-1.0,-6.8,-2,,
25-09-14,2,Dolphins,Patriots,-2.5,27,33,3.0,-1.0,-0.7,0.0,-1.0,-4.5,2,,
25-09-14,2,Saints,49ers,6.5,21,26,0.0,-1.0,-6.9,0.0,1.0,4.8,1,,
25-09-14,2,Titans,Rams,5.5,19,33,-2.0,1.0,-0.3,-1.0,1.0,-1.4,1,,
25-09-14,2,Steelers,Seahawks,-1.5,17,31,-1.0,-1.0,0.4,0.0,-1.0,3.6,-2,,
25-09-14,2,Cardinals,Panthers,-3.5,27,22,0.0,1.0,2.3,2.0,-1.0,-4.2,-2,,
25-09-14,2,Colts,Broncos,3.5,29,28,-3.0,1.0,-1.5,2.0,-1.0,7.1,-5,Broncos,L
25-09-14,2,Chiefs,Eagles,-1.5,17,20,0.0,-1.0,3.7,-1.0,-1.0,-5.9,2,,
25-09-14,2,Vikings,Falcons,-4.5,6,22,0.0,1.0,6.2,0.0,-1.0,-1.3,-1,,
25-09-15,2,Texans,Buccaneers,-1.5,19,20,1.0,-1.0,-0.5,0.0,1.0,3.7,2,,
25-09-15,2,Raiders,Chargers,15.5,9,20,0.0,1.0,-4.7,0.0,1.0,2.6,1,,
25-09-18,3,Bills,Dolphins,-9.5,31,21,-1.0,0.0,4.3,1.0,-2.0,-3.5,-4,Dolphins,L
25-09-21,3,Panthers,Falcons,-1.5,30,0,1.0,-2.0,-1.2,-3.0,0.0,0.9,2,,
25-09-21,3,Vikings,Bengals,-1.5,48,10,3.0,0.0,2.7,1.0,-2.0,2.1,-2,,
25-09-21,3,Browns,Packers,5.5,13,10,2.0,0.0,-5.4,0.0,2.0,2.6,1,,
25-09-21,3,Titans,Colts,-1.5,20,41,0.0,0.0,-3.9,-1.0,2.0,-1.7,1,,
25-09-21,3,Jaguars,Texans,2.5,17,10,-1.0,2.0,-1.3,0.0,-2.0,1.2,-3,Texans,L
25-09-21,3,Patriots,Steelers,-1.5,14,21,-1.0,0.0,-4.6,0.0,-2.0,-0.7,-3,Steelers,W
25-09-21,3,Buccaneers,Jets,-8.5,29,27,0.0,2.0,4.0,1.0,0.0,-6.3,-1,,
25-09-21,3,Eagles,Rams,-3.5,33,26,-1.0,0.0,3.0,0.0,2.0,1.7,-1,,
25-09-21,3,Commanders,Raiders,-7.5,41,24,0.0,0.0,3.1,2.0,2.0,-9.0,1,,
25-09-21,3,Chargers,Broncos,-1.5,23,20,-2.0,0.0,5.4,1.0,-2.0,4.8,-4,Broncos,L
25-09-21,3,Seahawks,Saints,-6.5,44,13,0.0,0.0,1.7,0.0,0.0,-8.3,1,,
25-09-21,3,Bears,Cowboys,-2.5,31,14,2.0,-2.0,-1.4,0.0,0.0,-1.3,1,,
25-09-21,3,49ers,Cardinals,-3.5,16,15,0.0,0.0,1.7,-1.0,2.0,0.0,1,,
25-09-21,3,Giants,Chiefs,5.5,9,22,0.0,0.0,-1.7,1.0,-2.0,3.0,-1,,
25-09-22,3,Ravens,Lions,-3.5,30,38,-2.0,2.0,6.0,-2.0,0.0,2.1,0,,
25-09-25,4,Cardinals,Seahawks,-2.5,20,23,-1.0,3.0,2.2,0.0,1.0,-0.0,-2,,
25-09-28,4,Steelers,Vikings,2.5,24,21,-4.0,-1.0,-1.3,-5.0,1.0,1.0,3,Steelers,W
25-09-28,4,Falcons,Commanders,3.5,34,27,2.0,-1.0,0.1,1.0,1.0,-0.4,3,Falcons,W
25-09-28,4,Bills,Saints,-11.5,31,19,-1.0,1.0,4.7,0.0,-1.0,-4.9,-4,Saints,L
25-09-28,4,Patriots,Panthers,0.0,42,13,4.0,-1.0,-2.9,-2.0,-1.0,-0.8,1,,
25-09-28,4,Lions,Browns,-10.5,34,10,-1.0,1.0,1.2,0.0,1.0,-7.9,-2,,
25-09-28,4,Texans,Titans,-5.5,26,0,2.0,-3.0,2.3,1.0,-1.0,-2.9,-1,,
25-09-28,4,Giants,Chargers,3.5,21,18,2.0,-1.0,-3.4,2.0,1.0,6.6,1,,
25-09-28,4,Buccaneers,Eagles,2.5,25,31,-2.0,1.0,2.8,0.0,1.0,3.0,0,,
25-09-28,4,Rams,Colts,-6.5,27,20,0.0,1.0,2.4,-1.0,3.0,-1.2,0,,
25-09-28,4,49ers,Jaguars,-5.5,21,26,1.0,-1.0,3.3,-2.0,3.0,-2.2,4,49ers,L
25-09-28,4,Raiders,Bears,1.5,24,25,-1.0,1.0,-6.3,-4.0,-1.0,-2.7,-3,Bears,L
25-09-28,4,Chiefs,Ravens,-1.5,37,20,-2.0,-1.0,4.4,1.0,1.0,2.8,1,,
25-09-28,4,Cowboys,Packers,2.5,40,40,4.0,-1.0,-2.4,0.0,1.0,0.4,2,,
25-09-29,4,Dolphins,Jets,-6.5,27,21,1.0,-3.0,-2.1,2.0,1.0,-4.4,1,,
25-09-29,4,Broncos,Bengals,-1.5,28,3,-2.0,-3.0,7.0,5.0,-3.0,1.6,-1,,
25-10-02,5,Rams,49ers,,23,26,-2.0,2.0,3.6,4.0,-2.0,0.8,-4,,
25-10-05,5,Browns,Vikings,,17,21,2.0,0.0,-3.9,2.0,0.0,2.1,0,,
25-10-05,5,Panthers,Dolphins,,27,24,0.0,-2.0,-2.5,-3.0,-4.0,-3.4,1,,
25-10-05,5,Colts,Raiders,,40,6,2.0,2.0,-0.7,3.0,2.0,-5.5,0,,
25-10-05,5,Jets,Cowboys,,22,37,3.0,2.0,-6.9,-1.0,0.0,-0.8,1,,
25-10-05,5,Eagles,Broncos,,17,21,-2.0,2.0,5.0,1.0,-2.0,4.3,-4,,
