season,game_type,week,gameday,away_team,away_score,home_team,home_score,location,spread_line
2018,REG,1,2018-09-06,ATL,12.0,PHI,18.0,Home,1.0
2018,REG,1,2018-09-09,BUF,3.0,BAL,47.0,Home,7.5
2018,REG,1,2018-09-09,PIT,21.0,CLE,21.0,Home,-3.5
2018,REG,1,2018-09-09,CIN,34.0,IND,23.0,Home,-1.0
2018,REG,1,2018-09-09,TEN,20.0,MIA,27.0,Home,-1.0
2018,REG,1,2018-09-09,SF,16.0,MIN,24.0,Home,6.0
2018,REG,1,2018-09-09,HOU,20.0,NE,27.0,Home,6.0
2018,REG,1,2018-09-09,TB,48.0,NO,40.0,Home,10.0
2018,REG,1,2018-09-09,JAX,20.0,NYG,15.0,Home,-2.5
2018,REG,1,2018-09-09,KC,38.0,LAC,28.0,Home,3.5
2018,REG,1,2018-09-09,WAS,24.0,ARI,6.0,Home,2.0
2018,REG,1,2018-09-09,DAL,8.0,CAR,16.0,Home,2.5
2018,REG,1,2018-09-09,SEA,24.0,DEN,27.0,Home,3.0
2018,REG,1,2018-09-09,CHI,23.0,GB,24.0,Home,6.5
2018,REG,1,2018-09-10,NYJ,48.0,DET,17.0,Home,7.0
2018,REG,1,2018-09-10,LA,33.0,OAK,13.0,Home,-6.0
2018,REG,2,2018-09-13,BAL,23.0,CIN,34.0,Home,1.0
2018,REG,2,2018-09-16,CAR,24.0,ATL,31.0,Home,5.5
2018,REG,2,2018-09-16,LAC,31.0,BUF,20.0,Home,-7.5
2018,REG,2,2018-09-16,MIN,29.0,GB,29.0,Home,-2.0
2018,REG,2,2018-09-16,CLE,18.0,NO,21.0,Home,10.0
2018,REG,2,2018-09-16,MIA,20.0,NYJ,12.0,Home,3.0
2018,REG,2,2018-09-16,KC,42.0,PIT,37.0,Home,4.5
2018,REG,2,2018-09-16,PHI,21.0,TB,27.0,Home,-3.0
2018,REG,2,2018-09-16,HOU,17.0,TEN,20.0,Home,-3.5
2018,REG,2,2018-09-16,IND,21.0,WAS,9.0,Home,6.0
2018,REG,2,2018-09-16,ARI,0.0,LA,34.0,Home,13.5
2018,REG,2,2018-09-16,DET,27.0,SF,30.0,Home,6.0
2018,REG,2,2018-09-16,OAK,19.0,DEN,20.0,Home,5.5
2018,REG,2,2018-09-16,NE,20.0,JAX,31.0,Home,-2.0
2018,REG,2,2018-09-16,NYG,13.0,DAL,20.0,Home,3.0
2018,REG,2,2018-09-17,SEA,17.0,CHI,24.0,Home,5.0
2018,REG,3,2018-09-20,NYJ,17.0,CLE,21.0,Home,3.0
2018,REG,3,2018-09-23,NO,43.0,ATL,37.0,Home,1.5
2018,REG,3,2018-09-23,DEN,14.0,BAL,27.0,Home,5.5
2018,REG,3,2018-09-23,CIN,21.0,CAR,31.0,Home,2.5
2018,REG,3,2018-09-23,NYG,27.0,HOU,22.0,Home,6.5
2018,REG,3,2018-09-23,TEN,9.0,JAX,6.0,Home,10.0
2018,REG,3,2018-09-23,SF,27.0,KC,38.0,Home,6.0
2018,REG,3,2018-09-23,OAK,20.0,MIA,28.0,Home,3.0
2018,REG,3,2018-09-23,BUF,27.0,MIN,6.0,Home,16.5
2018,REG,3,2018-09-23,IND,16.0,PHI,20.0,Home,6.5
2018,REG,3,2018-09-23,GB,17.0,WAS,31.0,Home,-2.5
2018,REG,3,2018-09-23,LAC,23.0,LA,35.0,Home,7.5
2018,REG,3,2018-09-23,CHI,16.0,ARI,14.0,Home,-6.0
2018,REG,3,2018-09-23,DAL,13.0,SEA,24.0,Home,1.0
2018,REG,3,2018-09-23,NE,10.0,DET,26.0,Home,-7.0
2018,REG,3,2018-09-24,PIT,30.0,TB,27.0,Home,1.0
2018,REG,4,2018-09-27,MIN,31.0,LA,38.0,Home,7.5
2018,REG,4,2018-09-30,CIN,37.0,ATL,36.0,Home,3.5
2018,REG,4,2018-09-30,TB,10.0,CHI,48.0,Home,3.0
2018,REG,4,2018-09-30,DET,24.0,DAL,26.0,Home,2.5
2018,REG,4,2018-09-30,BUF,0.0,GB,22.0,Home,8.5
2018,REG,4,2018-09-30,HOU,37.0,IND,34.0,Home,-1.0
2018,REG,4,2018-09-30,NYJ,12.0,JAX,31.0,Home,7.5
2018,REG,4,2018-09-30,MIA,7.0,NE,38.0,Home,6.5
2018,REG,4,2018-09-30,PHI,23.0,TEN,26.0,Home,-3.0
