Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2026-08-21,20:00,Arsenal,3–0,Coventry City,60098,Emirates Stadium,Thomas Bramall,Match Report,
1,Sat,2026-08-22,12:30,Hull City,2–0,Manchester Utd,24470,MKM Stadium,Darren England,Match Report,
1,Sat,2026-08-22,15:00,Ipswich Town,2–1,Sunderland,29669,Portman Road Stadium,Farai Hallam,Match Report,
1,Sat,2026-08-22,15:00,Nottingham,0–1,Leeds United,30739,The City Ground,Robert Jones,Match Report,
1,Sat,2026-08-22,15:00,Everton,2–0,Crystal Palace,51820,Hill Dickinson Stadium,Paul Tierney,Match Report,
1,Sat,2026-08-22,17:30,Brentford,3–0,Tottenham,17180,Gtech Community Stadium,Michael Oliver,Match Report,
1,Sun,2026-08-23,14:00,Manchester City,2–1,Bournemouth,60645,Etihad Stadium,Jarred Gillett,Match Report,
1,Sun,2026-08-23,14:00,Brighton,4–0,Aston Villa,31746,The American Express Stadium,Peter Bankes,Match Report,
1,Sun,2026-08-23,16:30,Newcastle,2–2,Liverpool,52630,St James' Park,Stuart Attwell,Match Report,
1,Mon,2026-08-24,20:00,Fulham,2–3,Chelsea,27461,Craven Cottage,John Brooks,Match Report,
,,,,,,,,,,,
2,Fri,2026-08-28,20:00,Crystal Palace,1–4,Manchester City,,Selhurst Park,Andy Madley,Match Report,
2,Sat,2026-08-29,12:30,Liverpool,2–2,Nottingham,60415,Anfield,Samuel Barrott,Match Report,
2,Sat,2026-08-29,15:00,Coventry City,0–1,Hull City,31239,Coventry Building Society Arena,Joshua Smith,Match Report,
2,Sat,2026-08-29,15:00,Bournemouth,1–1,Everton,11135,Vitality Stadium,Chris Kavanagh,Match Report,
2,Sat,2026-08-29,17:30,Tottenham,0–2,Newcastle,61025,Tottenham Hotspur Stadium,Peter Bankes,Match Report,
2,Sun,2026-08-30,14:00,Chelsea,4–3,Brighton,,Stamford Bridge,Michael Oliver,Match Report,
2,Sun,2026-08-30,14:00,Sunderland,1–0,Fulham,46781,Stadium of Light,Michael Salisbury,Match Report,
2,Sun,2026-08-30,14:00,Leeds United,1–1,Brentford,35974,Elland Road,Tony Harrington,Match Report,
2,Sun,2026-08-30,16:30,Manchester Utd,5–2,Ipswich Town,74148,Old Trafford,Craig Pawson,Match Report,
2,Mon,2026-08-31,20:00,Aston Villa,0-1,Arsenal,,Villa Park,,Head-to-Head,
