seconds_remaining,pull_now_minus_never,wait_minus_never
10,0.019800,0.000000
20,0.037788,0.019543
30,0.054115,0.037301
40,0.068919,0.053424
50,0.082325,0.068046
60,0.094449,0.081292
70,0.105394,0.093274
80,0.115258,0.104095
90,0.124128,0.113850
100,0.132084,0.122625
110,0.139200,0.130500
120,0.145544,0.137546
130,0.151177,0.143831
140,0.156156,0.149414
150,0.160532,0.154353
160,0.164355,0.158697
170,0.167667,0.162494
180,0.170509,0.165788
190,0.172918,0.168617
200,0.174928,0.171019
210,0.176571,0.173027
220,0.177874,0.174671
230,0.178865,0.175981
240,0.179569,0.176982
250,0.180007,0.177698
260,0.180201,0.178153
270,0.180169,0.178365
280,0.179931,0.178355
290,0.179501,0.178139
300,0.178895,0.177734
310,0.178127,0.177155
320,0.177209,0.176415
330,0.176155,0.175527
340,0.174974,0.174503
350,0.173678,0.173354
360,0.172275,0.172090
370,0.170774,0.170720
380,0.169183,0.169253
390,0.167576,0.167767
400,0.166003,0.166312
410,0.164462,0.164889
420,0.162952,0.163497
430,0.161473,0.162135
440,0.160024,0.160801
450,0.158604,0.159495
460,0.157211,0.158216
470,0.155847,0.156964
480,0.154509,0.155737
490,0.153197,0.154534
500,0.151910,0.153356
510,0.150647,0.152201
520,0.149409,0.151068
530,0.148193,0.149958
540,0.147000,0.148869
550,0.145830,0.147801
560,0.144680,0.146752
570,0.143551,0.145724
580,0.142443,0.144714
590,0.141354,0.143723
600,0.140284,0.142749
610,0.139233,0.141793
620,0.138200,0.140854
630,0.137185,0.139931
640,0.136187,0.139025
650,0.135205,0.138133
660,0.134240,0.137257
670,0.133291,0.136396
680,0.132357,0.135548
690,0.131437,0.134715
700,0.130533,0.133895
710,0.129642,0.133087
720,0.128766,0.132293
730,0.127902,0.131511
740,0.127052,0.130741
750,0.126215,0.129982
760,0.125390,0.129235
770,0.124576,0.128498
780,0.123775,0.127772
790,0.122985,0.127057
800,0.122206,0.126352
810,0.121439,0.125656
820,0.120683,0.124970
830,0.119938,0.124294
840,0.119204,0.123627
850,0.118481,0.122970
860,0.117768,0.122321
870,0.117066,0.121682
880,0.116373,0.121051
890,0.115691,0.120428
900,0.115019,0.119814
910,0.114356,0.119209
920,0.113702,0.118611
930,0.113058,0.118022
940,0.112422,0.117440
950,0.111796,0.116867
960,0.111179,0.116300
970,0.110570,0.115742
980,0.109969,0.115190
990,0.109377,0.114646
1000,0.108793,0.114109
1010,0.108217,0.113578
1020,0.107648,0.113055
1030,0.107088,0.112538
1040,0.106535,0.112028
1050,0.105990,0.111524
1060,0.105451,0.111027
1070,0.104920,0.110536
1080,0.104396,0.110051
1090,0.103879,0.109573
1100,0.103369,0.109100
1110,0.102866,0.108633
1120,0.102369,0.108172
1130,0.101878,0.107716
1140,0.101394,0.107266
1150,0.100916,0.106821
1160,0.100444,0.106382
1170,0.099978,0.105948
1180,0.099518,0.105519
1190,0.099064,0.105096
1200,0.098616,0.104677
