date,round,home,away,opening_line,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
2025-09-26,1,Glasgow,Sharks,,-19.5,35,19,0.0,0.0,,0.0,0.0,,0,,
2025-09-26,1,Stormers,Leinster,,10.0,35,0,0.0,0.0,,0.0,0.0,,0,,
2025-09-26,1,Ulster,Dragons,,-18.0,42,21,0.0,0.0,,0.0,0.0,,0,,
2025-09-27,1,Bulls,Ospreys,,-18.0,53,40,0.0,0.0,,0.0,0.0,,0,,
2025-09-27,1,Cardiff,Lions,,-10.0,33,20,0.0,0.0,,0.0,0.0,,0,,
2025-09-27,1,Connacht,Benetton,,-5.0,26,15,0.0,0.0,,0.0,0.0,,0,,
2025-09-27,1,Scarlets,Munster,,6.5,21,34,0.0,0.0,,0.0,0.0,,0,,
2025-09-27,1,Zebre,Edinburgh,,6.5,31,28,0.0,0.0,,0.0,0.0,,0,,
2025-10-03,2,Dragons,Sharks,,1.0,17,17,-3.0,-1.0,-6.5,-2.0,1.0,-7.2,3,Dragons,W
2025-10-03,2,Stormers,Ospreys,,-14.0,26,10,-5.0,1.0,-7.5,-7.0,1.0,-6.5,-1,,
2025-10-04,2,Benetton,Glasgow,,-1.5,16,14,3.0,-1.0,0.0,2.0,-1.0,7.2,-1,,
2025-10-04,2,Bulls,Leinster,,-6.5,39,31,7.0,-1.0,6.5,5.0,-1.0,7.5,-1,,
2025-10-04,2,Munster,Cardiff,,-15.0,23,20,6.0,1.0,5.8,-3.0,1.0,2.5,1,,
2025-10-05,2,Zebre,Lions,,-2.5,22,20,4.0,1.0,-5.8,3.0,-1.0,-2.5,-3,Lions,W
2025-10-10,3,Munster,Edinburgh,,-6.5,20,19,-2.0,0.0,10.0,-4.0,-1.0,4.0,-2,,
2025-10-10,3,Scarlets,Stormers,,7.5,0,34,-6.0,-1.0,-1.5,7.0,2.0,-3.5,1,,
2025-10-11,3,Benetton,Lions,,-12.0,41,15,-4.0,0.0,4.7,-4.0,0.0,-5.0,-1,,
2025-10-11,3,Cardiff,Connacht,,-4.0,14,8,2.0,2.0,-0.0,-3.0,1.0,4.7,1,,
2025-10-11,3,Glasgow,Dragons,,-24.5,49,0,4.0,-2.0,8.3,2.0,0.0,-12.3,0,,
2025-10-11,3,Leinster,Sharks,,-19.5,31,5,0.0,-2.0,7.3,-2.0,0.0,-6.3,1,,
2025-10-11,3,Ospreys,Zebre,,-19.0,24,0,-7.0,0.0,-10.5,4.0,0.0,-7.5,-3,Zebre,L
2025-10-11,3,Ulster,Bulls,,3.0,28,7,3.0,1.0,0.8,0.0,0.0,6.7,-1,,
2025-10-17,4,Connacht,Bulls,,0.0,27,28,-13.0,0.0,-2.2,1.0,-1.0,12.7,-4,Bulls,W
2025-10-17,4,Dragons,Cardiff,,8.0,17,24,7.0,-1.0,-10.8,13.0,3.0,-3.9,3,Dragons,W
2025-10-17,4,Edinburgh,Benetton,,-12.0,43,0,3.0,0.0,2.1,-1.0,1.0,0.3,2,,
2025-10-18,4,Leinster,Munster,,-17.5,14,31,3.0,-1.0,12.3,-3.0,-1.0,4.4,1,,
2025-10-18,4,Lions,Scarlets,,-15.5,29,18,1.0,-1.0,-7.9,5.0,-2.0,-7.4,-1,,
2025-10-18,4,Ospreys,Glasgow,,3.5,17,42,4.0,1.0,-0.3,-7.0,-1.0,7.6,-1,,
2025-10-18,4,Sharks,Ulster,,-13.5,26,34,-3.0,-1.0,-3.6,-1.0,2.0,4.2,1,,
2025-10-18,4,Zebre,Stormers,,16.5,13,31,-4.0,-1.0,-12.5,-5.0,3.0,5.0,1,,
2025-10-24,5,Glasgow,Bulls,,-9.5,21,12,-4.0,0.0,7.2,9.0,0.0,7.7,-3,Bulls,W
2025-10-25,5,Benetton,Stormers,,-0.5,16,31,12.0,0.0,0.4,1.0,4.0,4.9,0,,
2025-10-25,5,Cardiff,Edinburgh,,-7.0,20,19,1.0,2.0,0.2,-12.0,1.0,5.3,1,,
