date,home,away,line,system_num,system_bet,result,last_cover,cards,kicking,red_zone,long_haul,tour_leg2,derby,big_line,line_move
2025-09-26,Glasgow,Sharks,-19.5,0,,,,,,,1,0,0,1,0
2025-09-26,Stormers,Leinster,10.0,0,,,,,,,1,0,0,0,0
2025-09-26,Ulster,Dragons,-18.0,0,,,,,,,0,0,0,1,0
2025-09-27,Bulls,Ospreys,-18.0,0,,,,,,,1,0,0,1,0
2025-09-27,Cardiff,Lions,-10.0,0,,,,,,,1,0,0,0,0
2025-09-27,Connacht,Benetton,-5.0,0,,,,,,,0,0,0,0,0
2025-09-27,Scarlets,Munster,6.5,0,,,,,,,0,0,0,0,0
2025-09-27,Zebre,Edinburgh,6.5,0,,,,,,,0,0,0,0,0
2025-10-03,Dragons,Sharks,1.0,3,Dragons,W,0,-1,-1,0,1,1,0,0,0
2025-10-03,Stormers,Ospreys,-14.0,-1,,,-1,-1,1,0,1,1,0,1,0
2025-10-04,Benetton,Glasgow,-1.5,-1,,,0,1,1,1,0,0,0,0,0
2025-10-04,Bulls,Leinster,-6.5,-1,,,-1,-1,1,0,1,1,0,0,0
2025-10-04,Munster,Cardiff,-15.0,1,,,0,-1,-1,0,0,0,0,1,0
2025-10-05,Zebre,Lions,-2.5,-3,Lions,W,0,1,1,0,1,1,0,0,0
2025-10-10,Munster,Edinburgh,-6.5,-2,,,1,1,-1,0,0,0,0,0,0
2025-10-10,Scarlets,Stormers,7.5,1,,,0,0,-1,1,1,0,0,0,0
2025-10-11,Benetton,Lions,-12.0,-1,,,0,1,1,-1,1,1,0,0,0
2025-10-11,Cardiff,Connacht,-4.0,1,,,-1,1,1,1,0,0,0,0,0
2025-10-11,Glasgow,Dragons,-24.5,0,,,0,-1,0,1,0,0,0,1,0
2025-10-11,Leinster,Sharks,-19.5,1,,,0,1,-1,0,1,1,0,1,0
2025-10-11,Ospreys,Zebre,-19.0,-3,Zebre,L,0,-1,-1,1,0,0,0,1,0
2025-10-11,Ulster,Bulls,3.0,-1,,,0,1,-1,0,1,0,0,0,0
2025-10-17,Connacht,Bulls,0.0,-4,Bulls,W,-1,0,1,0,1,1,0,0,0
2025-10-17,Dragons,Cardiff,8.0,3,Dragons,W,1,1,1,1,0,0,1,0,0
2025-10-17,Edinburgh,Benetton,-12.0,2,,,1,1,-1,0,0,0,0,0,0
2025-10-18,Leinster,Munster,-17.5,1,,,0,1,0,-1,0,0,-1,1,0
2025-10-18,Lions,Scarlets,-15.5,-1,,,0,0,0,0,1,0,0,1,0
2025-10-18,Ospreys,Glasgow,3.5,-1,,,1,1,0,0,0,0,0,0,0
2025-10-18,Sharks,Ulster,-13.5,1,,,1,-1,-1,1,1,0,0,0,0
