date,home,away,home_score,away_score,home_turnovers_won,away_turnovers_won,home_turnovers_lost,away_turnovers_lost,home_eighty_min_score,away_eighty_min_score,home_half_time_score,away_half_time_score,home_carries,away_carries,home_carries_crossed_gain_line,away_carries_crossed_gain_line,home_carries_not_made_gain_line,away_carries_not_made_gain_line,home_clean_breaks,away_clean_breaks,home_conversion_goals,away_conversion_goals,home_defenders_beaten,away_defenders_beaten,home_drop_goal_missed,away_drop_goal_missed,home_drop_goals_converted,away_drop_goals_converted,home_free_kick_conceded_at_lineout,away_free_kick_conceded_at_lineout,home_goals,away_goals,home_kick_from_hand_metres,away_kick_from_hand_metres,home_kick_metres,away_kick_metres,home_kick_percent_success,away_kick_percent_success,home_kicking_competition_goals,away_kicking_competition_goals,home_kicks_from_hand,away_kicks_from_hand,home_lineout_success,away_lineout_success,home_lineout_throw_lost_handling_error,away_lineout_throw_lost_handling_error,home_lineout_throw_lost_penalty,away_lineout_throw_lost_penalty,home_lineout_throw_not_straight,away_lineout_throw_not_straight,home_lineout_throw_won_penalty,away_lineout_throw_won_penalty,home_lineout_throw_won_tap,away_lineout_throw_won_tap,home_lineouts_lost,away_lineouts_lost,home_lineouts_won,away_lineouts_won,home_maul_success,away_maul_success,home_mauls_lost,away_mauls_lost,home_mauls_lost_outright,away_mauls_lost_outright,home_mauls_total,away_mauls_total,home_mauls_won,away_mauls_won,home_mauls_won_outright,away_mauls_won_outright,home_mauls_won_penalty,away_mauls_won_penalty,home_mauls_won_penalty_try,away_mauls_won_penalty_try,home_mauls_won_try,away_mauls_won_try,home_metres,away_metres,home_missed_conversion_goals,away_missed_conversion_goals,home_missed_goals,away_missed_goals,home_missed_penalty_goals,away_missed_penalty_goals,home_missed_tackles,away_missed_tackles,home_num_visits_to22,away_num_visits_to22,home_number_of_times_in_possession,away_number_of_times_in_possession,home_offload,away_offload,home_passes,away_passes,home_penalties_conceded,away_penalties_conceded,home_penalty_conceded_collapsing_maul,away_penalty_conceded_collapsing_maul,home_penalty_conceded_delib_knock_on,away_penalty_conceded_delib_knock_on,home_penalty_conceded_foul_play,away_penalty_conceded_foul_play,home_penalty_conceded_handling_in_ruck,away_penalty_conceded_handling_in_ruck,home_penalty_conceded_lineout_offence,away_penalty_conceded_lineout_offence,home_penalty_conceded_obstruction,away_penalty_conceded_obstruction,home_penalty_conceded_offside,away_penalty_conceded_offside,home_penalty_conceded_other,away_penalty_conceded_other,home_penalty_conceded_scrum_offence,away_penalty_conceded_scrum_offence,home_penalty_conceded_wrong_side,away_penalty_conceded_wrong_side,home_penalty_goals,away_penalty_goals,home_penalty_tries,away_penalty_tries,home_points,away_points,home_points_from_visits_to22,away_points_from_visits_to22,home_possession,away_possession,home_red_card_second_yellow,away_red_card_second_yellow,home_red_cards,away_red_cards,home_restart22m,away_restart22m,home_restart_error_not_ten,away_restart_error_not_ten,home_restart_error_out_of_play,away_restart_error_out_of_play,home_restart_halfway,away_restart_halfway,home_restart_opp_error,away_restart_opp_error,home_restart_own_player,away_restart_own_player,home_restarts_success,away_restarts_success,home_retained_kicks,away_retained_kicks,home_ruck_success,away_ruck_success,home_rucks_lost,away_rucks_lost,home_rucks_won,away_rucks_won,home_scrums_lost,away_scrums_lost,home_scrums_lost_free_kick,away_scrums_lost_free_kick,home_scrums_lost_outright,away_scrums_lost_outright,home_scrums_lost_penalty,away_scrums_lost_penalty,home_scrums_lost_reversed,away_scrums_lost_reversed,home_scrums_reset,away_scrums_reset,home_scrums_success,away_scrums_success,home_scrums_won,away_scrums_won,home_scrums_won_free_kick,away_scrums_won_free_kick,home_scrums_won_outright,away_scrums_won_outright,home_scrums_won_penalty,away_scrums_won_penalty,home_tackle_success,away_tackle_success,home_tackles,away_tackles,home_territory,away_territory,home_total_kicks,away_total_kicks,home_total_kicks_succeeded,away_total_kicks_succeeded,home_total_lineouts,away_total_lineouts,home_tries,away_tries,home_try_assists,away_try_assists,home_try_kicks,away_try_kicks,home_turnover_bad_pass,away_turnover_bad_pass,home_turnover_carried_in_touch,away_turnover_carried_in_touch,home_turnover_forward_pass,away_turnover_forward_pass,home_turnover_knock_on,away_turnover_knock_on,home_yellow_cards,away_yellow_cards
2025-09-26,Glasgow,Sharks,35.0,19.0,5.0,7.0,12.0,10.0,35.0,19.0,14.0,12.0,126.0,121.0,52.0,53.0,57.0,57.0,15.0,6.0,4.0,2.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,563.0,394.0,563.0,394.0,1.0,0.6667000000000001,0.0,0.0,23.0,16.0,0.9444,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,10.0,0.75,1.0,2.0,0.0,1.0,0.0,8.0,3.0,6.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,408.0,375.0,0.0,1.0,0.0,1.0,0.0,0.0,22.0,22.0,17.0,10.0,44.0,34.0,10.0,2.0,152.0,159.0,8.0,15.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,35.0,19.0,35.0,19.0,0.4963,0.5036999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.9783,0.9444,1.0,0.0,89.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,7.0,6.0,1.0,1.0,4.0,3.0,2.0,2.0,0.8522,0.7920999999999999,173.0,141.0,0.5059,0.4941,4.0,3.0,4.0,2.0,18.0,10.0,5.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
2025-09-26,Stormers,Leinster,35.0,0.0,3.0,6.0,13.0,18.0,35.0,0.0,6.0,0.0,105.0,74.0,41.0,33.0,47.0,27.0,9.0,5.0,3.0,0.0,25.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,824.0,510.0,824.0,510.0,0.6,0.0,0.0,0.0,32.0,19.0,0.9444,0.75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,17.0,9.0,0.75,1.0,2.0,0.0,1.0,0.0,8.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,412.0,296.0,1.0,0.0,4.0,0.0,3.0,0.0,17.0,25.0,12.0,4.0,46.0,34.0,7.0,6.0,92.0,83.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,35.0,0.0,26.0,0.0,0.5846,0.4154,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.5,0.1,11.0,3.0,0.9855,0.94,1.0,0.0,66.0,42.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.7778,9.0,7.0,1.0,2.0,2.0,1.0,6.0,4.0,0.7112999999999999,0.7342,69.0,116.0,0.6169,0.3831,10.0,0.0,6.0,0.0,18.0,12.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2025-09-26,Ulster,Dragons,42.0,21.0,7.0,4.0,12.0,9.0,42.0,21.0,28.0,14.0,162.0,73.0,76.0,37.0,68.0,27.0,16.0,4.0,6.0,3.0,25.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,373.0,621.0,373.0,621.0,1.0,1.0,0.0,0.0,14.0,24.0,0.8125,0.875,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,13.0,14.0,1.0,0.25,0.0,3.0,0.0,1.0,5.0,4.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,25.0,10.0,7.0,39.0,38.0,13.0,3.0,222.0,64.0,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,42.0,21.0,42.0,21.0,0.6379,0.3621,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.1429,1.0,5.0,0.9646,0.92,0.0,1.0,106.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,6.0,7.0,1.0,0.0,3.0,6.0,2.0,1.0,0.81,0.7714,81.0,189.0,0.6425,0.3575,6.0,3.0,6.0,3.0,16.0,16.0,6.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
2025-09-27,Bulls,Ospreys,53.0,40.0,4.0,7.0,16.0,9.0,53.0,40.0,19.0,26.0,139.0,92.0,75.0,49.0,46.0,31.0,6.0,12.0,4.0,5.0,26.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,350.0,392.0,350.0,392.0,0.4443999999999999,0.8332999999999999,0.0,0.0,17.0,14.0,1.0,0.6667000000000001,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,9.0,2.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,0.0,487.0,334.0,5.0,1.0,5.0,1.0,0.0,0.0,23.0,26.0,17.0,10.0,43.0,33.0,6.0,4.0,132.0,108.0,8.0,13.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,53.0,40.0,53.0,40.0,0.5864,0.4135999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,2.0,0.0,1.0,0.0,0.3636,4.0,1.0,0.9556,0.9355,0.0,1.0,86.0,56.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.7778,4.0,7.0,1.0,0.0,1.0,7.0,2.0,0.0,0.7384999999999999,0.7487999999999999,96.0,161.0,0.5841,0.4159,9.0,6.0,4.0,5.0,19.0,12.0,9.0,6.0,4.0,5.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
2025-09-27,Cardiff,Lions,33.0,20.0,10.0,8.0,13.0,16.0,33.0,20.0,14.0,13.0,113.0,88.0,61.0,40.0,43.0,34.0,14.0,3.0,4.0,2.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,646.0,530.0,646.0,530.0,0.8,1.0,0.0,0.0,28.0,19.0,0.8,0.8234999999999999,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,12.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,345.0,234.0,1.0,0.0,1.0,0.0,0.0,0.0,14.0,15.0,10.0,7.0,41.0,38.0,10.0,0.0,137.0,100.0,14.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,33.0,20.0,33.0,14.0,0.5091,0.4909,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.9221,0.9211,1.0,1.0,69.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.8889,1.0,8.0,5.0,0.0,0.0,5.0,2.0,3.0,2.0,0.8356,0.7959,122.0,117.0,0.5146000000000001,0.4854,5.0,4.0,4.0,4.0,15.0,17.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2025-09-27,Connacht,Benetton,26.0,15.0,5.0,3.0,7.0,10.0,26.0,15.0,12.0,3.0,145.0,148.0,75.0,50.0,57.0,75.0,5.0,10.0,3.0,1.0,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,854.0,671.0,854.0,671.0,0.75,0.6667000000000001,0.0,0.0,26.0,23.0,0.9167,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,11.0,13.0,0.8,0.6,1.0,2.0,0.0,0.0,5.0,5.0,4.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,395.0,412.0,1.0,1.0,1.0,1.0,0.0,0.0,20.0,28.0,11.0,12.0,44.0,40.0,3.0,13.0,169.0,167.0,14.0,11.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0,15.0,26.0,12.0,0.5372,0.4628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.9664,0.9898,1.0,0.0,111.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,5.0,3.0,1.0,0.0,4.0,2.0,0.0,1.0,0.7826000000000001,0.8297,162.0,190.0,0.5720000000000001,0.428,4.0,3.0,3.0,2.0,12.0,16.0,4.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0
2025-09-27,Scarlets,Munster,21.0,34.0,8.0,7.0,7.0,13.0,21.0,34.0,0.0,13.0,134.0,110.0,51.0,51.0,74.0,41.0,7.0,16.0,3.0,4.0,22.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,525.0,408.0,525.0,408.0,1.0,1.0,0.0,0.0,23.0,21.0,0.9048,0.8889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,19.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,5.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,259.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,22.0,12.0,9.0,39.0,39.0,4.0,9.0,153.0,123.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,21.0,34.0,21.0,31.0,0.5622,0.4378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,0.0,1.0,0.2857,0.0,4.0,5.0,0.9712,0.9459,1.0,0.0,99.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,5.0,0.0,1.0,5.0,2.0,2.0,2.0,0.7215,0.8623999999999999,114.0,188.0,0.6787000000000001,0.3213,3.0,6.0,3.0,6.0,21.0,9.0,3.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
2025-09-27,Zebre,Edinburgh,31.0,28.0,5.0,8.0,16.0,12.0,31.0,28.0,21.0,14.0,86.0,87.0,38.0,34.0,36.0,38.0,6.0,3.0,4.0,4.0,18.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,4.0,531.0,738.0,531.0,738.0,1.0,1.0,0.0,0.0,21.0,26.0,0.9091,0.8667,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,20.0,13.0,0.8889,1.0,1.0,0.0,1.0,0.0,9.0,3.0,8.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,318.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,18.0,11.0,9.0,41.0,42.0,12.0,3.0,79.0,93.0,9.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,31.0,28.0,28.0,28.0,0.4511,0.5489,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,6.0,0.0,0.0,0.0,1.0,0.1429,0.1667,3.0,4.0,0.8936,0.9365,2.0,2.0,40.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.875,4.0,7.0,1.0,1.0,3.0,4.0,0.0,2.0,0.8603000000000001,0.6522,117.0,75.0,0.4557,0.5443,5.0,4.0,5.0,4.0,22.0,15.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0
2025-10-03,Dragons,Sharks,17.0,17.0,4.0,1.0,12.0,10.0,17.0,17.0,14.0,17.0,93.0,76.0,24.0,23.0,53.0,38.0,4.0,1.0,2.0,2.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,705.0,539.0,705.0,539.0,1.0,1.0,0.0,0.0,23.0,25.0,0.6429,0.7895,1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,9.0,15.0,1.0,0.8889,0.0,1.0,0.0,0.0,2.0,9.0,2.0,8.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,231.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,26.0,4.0,7.0,31.0,37.0,0.0,5.0,75.0,60.0,15.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,10.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,17.0,17.0,14.0,14.0,0.5678,0.4322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,4.0,0.0,0.0,3.0,1.0,0.0,0.25,1.0,4.0,0.988,0.9423,1.0,0.0,81.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.75,1.0,3.0,12.0,0.0,1.0,2.0,2.0,1.0,9.0,0.823,0.825,93.0,132.0,0.5114,0.4886,3.0,3.0,3.0,3.0,14.0,19.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0
2025-10-03,Stormers,Ospreys,26.0,10.0,11.0,11.0,19.0,12.0,26.0,10.0,8.0,10.0,124.0,109.0,58.0,39.0,50.0,54.0,7.0,2.0,1.0,0.0,29.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,618.0,576.0,618.0,576.0,0.5714,0.0,0.0,0.0,23.0,24.0,1.0,0.9231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,21.0,12.0,1.0,0.6,0.0,2.0,0.0,2.0,5.0,5.0,5.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,352.0,380.0,2.0,2.0,3.0,2.0,1.0,0.0,22.0,29.0,9.0,9.0,42.0,41.0,8.0,5.0,154.0,127.0,7.0,16.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0,0.0,26.0,10.0,20.0,10.0,0.5021,0.4979,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,0.25,0.25,6.0,4.0,0.908,0.8976999999999999,3.0,3.0,77.0,78.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.75,5.0,3.0,0.0,0.0,0.0,3.0,5.0,0.0,0.7901,0.7551000000000001,128.0,148.0,0.5587,0.4413,7.0,2.0,4.0,0.0,21.0,13.0,3.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
