round,date,home,away,neutral,opening_line,closing_line,line_source,home_score,away_score,home_turnovers_conceded,away_turnovers_conceded,home_turnovers_won,away_turnovers_won
13,2026-03-21,Glasgow,Leinster,,,2.5,,38,17,,,,
13,2026-03-21,Sharks,Munster,,,-6.5,,45,0,,,,
13,2026-03-22,Stormers,Dragons,,,-30.5,,29,21,,,,
14,2026-03-27,Glasgow,Benetton,,,-17.5,,31,10,,,,
14,2026-03-27,Leinster,Scarlets,,,-25.0,inferred-1x2,36,19,,,,
14,2026-03-27,Sharks,Cardiff,,,-18.0,inferred-1x2,21,15,,,,
14,2026-03-28,Bulls,Munster,,,-14.5,inferred-1x2,34,31,,,,
14,2026-03-28,Connacht,Ospreys,,,-10.5,,21,14,,,,
14,2026-03-28,Lions,Dragons,,,-17.0,inferred-1x2,42,26,,,,
14,2026-03-28,Stormers,Edinburgh,,,-17.5,inferred-1x2,33,14,,,,
14,2026-03-28,Zebre,Ulster,,,11.5,,12,28,,,,
15,2026-04-17,Dragons,Bulls,,,14.5,,7,47,,,,
15,2026-04-17,Edinburgh,Zebre,,,-16.5,inferred-1x2,31,30,,,,
15,2026-04-17,Ulster,Leinster,,,-4.5,inferred-1x2,21,29,,,,
15,2026-04-18,Benetton,Munster,,,3.0,inferred-1x2,15,45,,,,
15,2026-04-18,Lions,Glasgow,,,-6.5,inferred-1x2,54,12,,,,
15,2026-04-18,Ospreys,Sharks,,,-1.0,inferred-1x2,21,17,,,,
15,2026-04-18,Scarlets,Cardiff,,,-2.0,inferred-1x2,24,28,,,,
15,2026-04-18,Stormers,Connacht,,,-20.5,inferred-1x2,24,33,,,,
16,2026-04-24,Cardiff,Ospreys,,,-1.5,,24,21,,,,
16,2026-04-24,Edinburgh,Sharks,,,4.5,,33,28,,,,
16,2026-04-24,Zebre,Dragons,,,-2.5,inferred-1x2,18,19,,,,
16,2026-04-25,Benetton,Leinster,,,13.0,inferred-1x2,29,26,,,,
16,2026-04-25,Lions,Connacht,,,-16.0,inferred-1x2,33,21,,,,
16,2026-04-25,Munster,Ulster,,,-23.5,inferred-1x2,41,14,,,,
16,2026-04-25,Scarlets,Bulls,,,13.5,inferred-1x2,21,23,,,,
16,2026-04-25,Stormers,Glasgow,,,-7.5,,48,12,,,,
17,2026-05-08,Glasgow,Cardiff,,,-15.5,,40,17,,,,
17,2026-05-08,Ulster,Stormers,,,1.0,inferred-1x2,38,38,,,,
17,2026-05-09,Bulls,Zebre,,,-33.5,,54,19,,,,
17,2026-05-09,Connacht,Munster,,,-4.5,inferred-1x2,26,7,,,,
17,2026-05-09,Dragons,Edinburgh,,,1.5,inferred-1x2,15,24,,,,
17,2026-05-09,Leinster,Lions,,,-12.5,,31,7,,,,
17,2026-05-09,Ospreys,Scarlets,,,-6.0,inferred-1x2,27,20,,,,
17,2026-05-09,Sharks,Benetton,,,-10.5,inferred-1x2,46,7,,,,
18,2026-05-15,Cardiff,Stormers,,,8.0,inferred-1x2,22,16,-1,12,8,1
18,2026-05-15,Edinburgh,Connacht,,,4.5,,5,26,14,8,5,6
18,2026-05-15,Ulster,Glasgow,,,8.0,inferred-1x2,22,26,1,4,10,7
18,2026-05-16,Bulls,Benetton,,,-25.5,inferred-1x2,45,19,10,10,7,6
18,2026-05-16,Leinster,Ospreys,,,-21.5,inferred-1x2,68,14,3,8,10,10
18,2026-05-16,Munster,Lions,,,-7.0,inferred-1x2,24,17,3,8,7,7
18,2026-05-16,Scarlets,Dragons,,,-5.0,inferred-1x2,35,35,1,10,8,4
18,2026-05-16,Sharks,Zebre,,,-23.5,inferred-1x2,54,19,13,2,9,11
19,2026-05-29,Glasgow,Connacht,,,-13.0,inferred-1x2,33,21,5,9,6,2
19,2026-05-30,Bulls,Munster,,,-15.5,inferred-1x2,45,14,7,13,10,8
19,2026-05-30,Leinster,Lions,,,-16.5,inferred-1x2,59,10,6,14,6,3
19,2026-05-30,Stormers,Cardiff,,,-15.5,inferred-1x2,44,21,8,4,3,6
20,2026-06-06,Glasgow,Bulls,,,-1.5,inferred-1x2,21,22,4,5,6,7
20,2026-06-06,Leinster,Stormers,,,-15.0,inferred-1x2,20,11,8,9,6,7
21,2026-06-19,Leinster,Bulls,,,-4.5,inferred-1x2,36,7,6,16,8,5
