date,round,home,away,odds_home,odds_draw,odds_away,inferred_line,pts_per_tick,actual_line
2026-03-21,13,Glasgow,Leinster,2.19,21.46,1.73,2.5,0.14,
2026-03-21,13,Sharks,Munster,1.43,20.75,2.94,-7.5,0.22,
2026-03-22,13,Stormers,Dragons,1.01,47.31,25.65,-30.0,2.33,
2026-03-27,14,Glasgow,Benetton,1.08,29.31,8.35,-20.0,0.76,
2026-03-28,14,Connacht,Ospreys,1.24,23.77,4.17,-12.5,0.35,
2026-03-28,14,Zebre,Ulster,4.47,23.15,1.21,13.0,0.39,
2026-04-17,15,Dragons,Bulls,6.24,27.0,1.12,17.5,0.57,
2026-04-24,16,Cardiff,Ospreys,1.75,20.4,2.15,-2.0,0.13,
2026-04-24,16,Edinburgh,Sharks,2.41,21.0,1.59,4.5,0.16,
2026-04-25,16,Stormers,Glasgow,1.35,24.07,3.31,-9.0,0.26,
2026-05-08,17,Glasgow,Cardiff,1.1,29.07,7.08,-18.5,0.65,
2026-05-09,17,Bulls,Zebre,1.01,51.46,20.12,-29.0,2.02,
2026-05-09,17,Leinster,Lions,1.2,25.73,4.66,-13.5,0.4,
2026-05-15,18,Edinburgh,Connacht,2.67,20.02,1.5,6.0,0.19,
