date,round,home,away,odds_home,odds_draw,odds_away
2025-09-26,1,Glasgow,Sharks,1.05,40.08,10.53
2025-09-26,1,Stormers,Leinster,4.0,30.31,1.26
2025-09-26,1,Ulster,Dragons,1.07,38.08,8.59
2025-09-27,1,Bulls,Ospreys,1.07,37.77,9.0
2025-09-27,1,Cardiff,Lions,1.26,23.69,3.98
2025-09-27,1,Connacht,Benetton,1.48,30.77,2.67
2025-09-27,1,Scarlets,Munster,3.03,21.46,1.41
2025-09-27,1,Zebre,Edinburgh,2.99,22.62,1.42
2025-10-03,2,Dragons,Sharks,2.02,22.23,1.82
2025-10-03,2,Stormers,Ospreys,1.14,31.08,5.89
2025-10-04,2,Benetton,Glasgow,1.77,26.62,2.08
2025-10-04,2,Bulls,Leinster,1.41,24.23,2.95
2025-10-04,2,Munster,Cardiff,1.12,29.36,6.53
2025-10-05,2,Zebre,Lions,1.71,22.08,2.21
2025-10-10,3,Munster,Edinburgh,1.42,28.62,2.93
2025-10-10,3,Scarlets,Stormers,3.17,26.08,1.37
2025-10-11,3,Benetton,Lions,1.2,26.0,4.65
2025-10-11,3,Cardiff,Connacht,1.58,22.62,2.45
2025-10-11,3,Glasgow,Dragons,1.01,41.53,19.78
2025-10-11,3,Leinster,Sharks,1.05,42.0,10.23
2025-10-11,3,Ospreys,Zebre,1.06,39.85,9.82
2025-10-11,3,Ulster,Bulls,2.29,22.69,1.66
2025-10-17,4,Connacht,Bulls,1.93,23.08,1.91
2025-10-17,4,Dragons,Cardiff,3.38,24.08,1.34
2025-10-17,4,Edinburgh,Benetton,1.19,29.31,4.81
2025-10-18,4,Leinster,Munster,1.08,31.54,8.29
2025-10-18,4,Lions,Scarlets,1.11,31.77,6.97
2025-10-18,4,Ospreys,Glasgow,2.43,21.54,1.59
2025-10-18,4,Sharks,Ulster,1.15,34.92,5.42
2025-10-18,4,Zebre,Stormers,7.57,36.23,1.09
2025-10-24,5,Glasgow,Bulls,1.28,27.08,3.86
2025-10-25,5,Benetton,Stormers,1.88,21.38,1.96
2025-10-25,5,Cardiff,Edinburgh,1.4,21.92,3.13
2025-10-25,5,Dragons,Ospreys,2.84,23.15,1.45
2025-10-25,5,Leinster,Zebre,1.02,46.23,14.53
2025-10-25,5,Lions,Ulster,1.74,22.85,2.15
2025-10-25,5,Munster,Connacht,1.21,27.46,4.58
2025-10-25,5,Sharks,Scarlets,1.03,48.31,12.73
2025-11-28,6,Dragons,Leinster,12.65,47.38,1.03
2025-11-28,6,Ulster,Benetton,1.06,41.15,9.25
2025-11-29,6,Bulls,Lions,1.14,33.23,5.79
2025-11-29,6,Connacht,Sharks,1.29,24.38,3.75
2025-11-29,6,Edinburgh,Ospreys,1.02,45.09,18.36
2025-11-29,6,Munster,Stormers,1.26,27.69,3.98
2025-11-29,6,Scarlets,Glasgow,5.51,29.08,1.16
2025-11-29,6,Zebre,Cardiff,1.43,26.38,2.89
2025-12-19,7,Cardiff,Scarlets,1.43,22.31,2.91
2025-12-19,7,Leinster,Ulster,1.24,29.69,4.11
2025-12-20,7,Benetton,Zebre,1.17,26.62,5.18
2025-12-20,7,Dragons,Connacht,3.88,22.92,1.27
2025-12-20,7,Glasgow,Edinburgh,1.19,26.46,4.84
2025-12-20,7,Ospreys,Munster,3.05,21.42,1.4
2025-12-20,7,Sharks,Bulls,2.19,20.83,1.72
2025-12-20,7,Stormers,Lions,1.12,29.85,6.22
2025-12-26,8,Cardiff,Dragons,1.15,27.38,5.55
2025-12-26,8,Scarlets,Ospreys,1.48,21.54,2.74
2025-12-27,8,Connacht,Ulster,2.48,25.85,1.56
2025-12-27,8,Edinburgh,Glasgow,2.82,20.77,1.47
2025-12-27,8,Munster,Leinster,2.78,21.08,1.47
2025-12-27,8,Zebre,Benetton,2.65,22.38,1.5
2026-01-01,9,Dragons,Scarlets,2.27,21.23,1.68
2026-01-01,9,Ospreys,Cardiff,1.53,22.23,2.59
2026-01-02,9,Ulster,Munster,1.32,22.87,3.51
2026-01-03,9,Benetton,Edinburgh,1.3,22.03,3.68
2026-01-03,9,Glasgow,Zebre,1.01,43.57,18.42
2026-01-03,9,Leinster,Connacht,1.05,35.97,10.49
2026-01-03,9,Sharks,Lions,1.18,26.23,4.95
2026-01-03,9,Stormers,Bulls,1.28,24.13,3.82
2026-01-23,10,Edinburgh,Bulls,1.69,25.15,2.21
2026-01-23,10,Munster,Dragons,1.11,29.23,7.12
2026-01-23,10,Ospreys,Lions,1.49,23.08,2.72
2026-01-24,10,Cardiff,Benetton,1.37,20.77,3.26
2026-01-24,10,Connacht,Leinster,3.39,22.17,1.34
2026-01-24,10,Scarlets,Ulster,3.3,22.55,1.36
2026-01-24,10,Stormers,Sharks,1.23,26.23,4.32
2026-01-24,10,Zebre,Glasgow,12.23,36.31,1.04
2026-01-30,11,Benetton,Scarlets,1.21,25.85,4.59
2026-01-30,11,Glasgow,Munster,1.51,22.56,2.65
2026-01-31,11,Leinster,Edinburgh,1.38,23.23,3.15
2026-01-31,11,Lions,Bulls,2.61,24.92,1.5
2026-01-31,11,Ospreys,Dragons,1.45,21.25,2.86
2026-01-31,11,Sharks,Stormers,2.2,26.25,1.7
2026-01-31,11,Ulster,Cardiff,1.21,25.54,4.49
2026-01-31,11,Zebre,Connacht,2.73,21.23,1.49
2026-02-21,8,Lions,Sharks,1.44,21.92,2.91
2026-02-27,12,Cardiff,Leinster,2.95,20.83,1.43
2026-02-27,12,Edinburgh,Scarlets,1.19,26.08,4.87
2026-02-28,12,Bulls,Sharks,1.17,27.26,5.21
2026-02-28,12,Connacht,Glasgow,1.64,20.08,2.35
2026-02-28,12,Dragons,Benetton,1.62,21.0,2.37
2026-02-28,12,Lions,Stormers,2.72,22.25,1.49
2026-02-28,12,Munster,Zebre,1.01,48.46,18.73
2026-02-28,12,Ospreys,Ulster,2.93,20.4,1.43
2026-03-13,2,Connacht,Scarlets,1.32,23.38,3.54
2026-03-13,2,Edinburgh,Ulster,2.08,19.08,1.81
2026-03-14,8,Bulls,Stormers,1.27,25.23,3.84
2026-03-20,13,Bulls,Cardiff,1.05,34.64,10.13
2026-03-20,13,Scarlets,Zebre,1.1,29.15,7.01
2026-03-20,13,Ulster,Connacht,1.19,25.23,4.88
2026-03-21,13,Benetton,Ospreys,1.39,22.77,3.07
2026-03-21,13,Glasgow,Leinster,2.19,21.46,1.73
2026-03-21,13,Lions,Edinburgh,1.19,25.92,4.83
2026-03-21,13,Sharks,Munster,1.43,20.75,2.94
2026-03-22,13,Stormers,Dragons,1.01,47.31,25.65
2026-03-27,14,Glasgow,Benetton,1.08,29.31,8.35
2026-03-27,14,Leinster,Scarlets,1.01,43.59,20.23
2026-03-27,14,Sharks,Cardiff,1.07,36.2,8.73
2026-03-28,14,Bulls,Munster,1.13,28.46,6.03
2026-03-28,14,Connacht,Ospreys,1.24,23.77,4.17
2026-03-28,14,Lions,Dragons,1.08,32.69,7.81
2026-03-28,14,Stormers,Edinburgh,1.08,30.38,8.33
2026-03-28,14,Zebre,Ulster,4.47,23.15,1.21
2026-04-17,15,Dragons,Bulls,6.24,27.0,1.12
2026-04-17,15,Edinburgh,Zebre,1.09,24.92,7.79
2026-04-17,15,Ulster,Leinster,1.55,20.62,2.54
2026-04-18,15,Benetton,Munster,2.3,21.38,1.65
2026-04-18,15,Lions,Glasgow,1.42,22.44,2.89
2026-04-18,15,Ospreys,Sharks,1.81,19.5,2.07
2026-04-18,15,Scarlets,Cardiff,1.72,20.0,2.2
2026-04-18,15,Stormers,Connacht,1.04,33.5,11.68
2026-04-24,16,Cardiff,Ospreys,1.75,20.4,2.15
2026-04-24,16,Edinburgh,Sharks,2.41,21.0,1.59
2026-04-24,16,Zebre,Dragons,1.68,20.47,2.28
2026-04-25,16,Benetton,Leinster,5.37,26.86,1.16
2026-04-25,16,Lions,Connacht,1.1,33.69,6.93
2026-04-25,16,Munster,Ulster,1.02,46.37,16.75
2026-04-25,16,Scarlets,Bulls,5.59,25.43,1.15
2026-04-25,16,Stormers,Glasgow,1.35,24.07,3.31
2026-05-08,17,Glasgow,Cardiff,1.1,29.07,7.08
2026-05-08,17,Ulster,Stormers,2.02,20.67,1.83
2026-05-09,17,Bulls,Zebre,1.01,51.46,20.12
2026-05-09,17,Connacht,Munster,1.54,20.47,2.54
2026-05-09,17,Dragons,Edinburgh,2.08,20.3,1.79
2026-05-09,17,Leinster,Lions,1.2,25.73,4.66
2026-05-09,17,Ospreys,Scarlets,1.43,20.71,2.92
2026-05-09,17,Sharks,Benetton,1.24,27.73,4.14
2026-05-15,18,Cardiff,Stormers,3.32,23.64,1.35
2026-05-15,18,Edinburgh,Connacht,2.67,20.02,1.5
2026-05-15,18,Ulster,Glasgow,3.41,22.84,1.33
2026-05-16,18,Bulls,Benetton,1.01,48.0,24.23
2026-05-16,18,Leinster,Ospreys,1.03,37.0,13.03
2026-05-16,18,Munster,Lions,1.4,22.02,3.03
2026-05-16,18,Scarlets,Dragons,1.51,18.67,2.69
2026-05-16,18,Sharks,Zebre,1.02,44.38,17.21
2026-05-29,19,Glasgow,Connacht,1.17,24.93,5.15
2026-05-30,19,Bulls,Munster,1.11,30.5,6.47
2026-05-30,19,Leinster,Lions,1.09,31.57,7.47
2026-05-30,19,Stormers,Cardiff,1.11,29.43,6.72
2026-06-06,20,Glasgow,Bulls,1.75,21.21,2.13
2026-06-06,20,Leinster,Stormers,1.12,30.43,6.27
2026-06-19,21,Leinster,Bulls,1.53,22.13,2.59
