Ecommerce paid features report - synthetic fixture
Channel Name,Earnings (USD)
Fugget About It Official,5.15
Science Max Official,6.97
Karma's World Official,7.66
Nine Story Extras,0.47
Fugget About It Official,3.81
Science Max Official,1.92
Karma's World Official,2.47
Nine Story Extras,5.11
Fugget About It Official,7.0
Science Max Official,6.47
Karma's World Official,1.59
Nine Story Extras,1.52
Fugget About It Official,4.77
Science Max Official,3.71
Karma's World Official,6.88
Nine Story Extras,2.77
Fugget About It Official,4.86
Science Max Official,2.24
Karma's World Official,3.27
Nine Story Extras,2.09
Fugget About It Official,2.01
Science Max Official,1.22
Karma's World Official,0.91
Nine Story Extras,5.75
Fugget About It Official,2.99
Science Max Official,5.95
Karma's World Official,2.58
Nine Story Extras,7.89
Fugget About It Official,1.09
Science Max Official,3.37
Karma's World Official,7.51
Nine Story Extras,6.39
Fugget About It Official,6.55
Science Max Official,6.08
Karma's World Official,0.83
Nine Story Extras,6.28
Fugget About It Official,4.89
Science Max Official,2.59
Karma's World Official,7.38
Nine Story Extras,7.56
Fugget About It Official,6.38
Science Max Official,1.23
Karma's World Official,0.68
Nine Story Extras,1.85
Fugget About It Official,7.18
Science Max Official,1.63
Karma's World Official,5.77
Nine Story Extras,4.37
Fugget About It Official,5.14
Science Max Official,7.21
Karma's World Official,6.19
Nine Story Extras,3.99
Fugget About It Official,0.14
Science Max Official,6.02
Karma's World Official,0.16
Nine Story Extras,0.39
Fugget About It Official,3.55
Science Max Official,6.72
Karma's World Official,3.6
Nine Story Extras,2.28
Fugget About It Official,7.22
Science Max Official,1.18
Karma's World Official,5.69
Nine Story Extras,4.94
Fugget About It Official,4.33
Science Max Official,6.22
Karma's World Official,2.6
Nine Story Extras,2.43
Fugget About It Official,5.27
Science Max Official,5.87
Karma's World Official,0.11
Nine Story Extras,2.7
Fugget About It Official,3.96
Science Max Official,7.37
Karma's World Official,0.1
Nine Story Extras,3.6
Fugget About It Official,1.7
Science Max Official,1.62
Karma's World Official,1.22
Nine Story Extras,6.78
Fugget About It Official,6.67
Science Max Official,7.03
Karma's World Official,0.55
Nine Story Extras,0.21
Fugget About It Official,4.33
Science Max Official,5.45
Karma's World Official,4.49
Nine Story Extras,0.27
Fugget About It Official,2.34
Science Max Official,3.59
Karma's World Official,2.67
Nine Story Extras,3.23
Fugget About It Official,0.7
Science Max Official,4.4
Karma's World Official,7.64
Nine Story Extras,0.63
Fugget About It Official,6.06
Science Max Official,3.72
Karma's World Official,5.94
Nine Story Extras,4.9
Fugget About It Official,3.92
Science Max Official,5.54
Karma's World Official,5.9
Nine Story Extras,6.84
Fugget About It Official,2.4
Science Max Official,1.42
Karma's World Official,4.9
Nine Story Extras,7.1
Fugget About It Official,7.35
Science Max Official,7.71
Karma's World Official,5.61
Nine Story Extras,6.09
Fugget About It Official,7.95
Science Max Official,4.68
Karma's World Official,1.63
Nine Story Extras,7.36
Fugget About It Official,4.96
Science Max Official,4.17
Karma's World Official,7.0
Nine Story Extras,3.06
Fugget About It Official,1.75
Science Max Official,1.33
Karma's World Official,3.29
Nine Story Extras,0.56
Fugget About It Official,1.21
Science Max Official,1.02
Karma's World Official,4.73
Nine Story Extras,7.86
Fugget About It Official,6.48
Science Max Official,0.32
Karma's World Official,6.33
Nine Story Extras,1.51
Fugget About It Official,5.04
Science Max Official,2.91
Karma's World Official,4.4
Nine Story Extras,0.95
Fugget About It Official,2.96
Science Max Official,3.69
Karma's World Official,6.88
Nine Story Extras,6.63
Fugget About It Official,6.63
Science Max Official,3.15
Karma's World Official,6.83
Nine Story Extras,1.34
Fugget About It Official,7.97
Science Max Official,1.06
Karma's World Official,1.64
Nine Story Extras,3.76
Fugget About It Official,1.66
Science Max Official,1.46
Karma's World Official,5.8
Nine Story Extras,0.14
Fugget About It Official,0.24
Science Max Official,0.74
Karma's World Official,1.33
Nine Story Extras,5.08
Fugget About It Official,2.56
Science Max Official,0.14
Karma's World Official,2.96
Nine Story Extras,3.82
Fugget About It Official,1.21
Science Max Official,4.09
Karma's World Official,0.8
Nine Story Extras,4.89
Fugget About It Official,7.18
Science Max Official,0.94
Karma's World Official,0.64
Nine Story Extras,7.17
Fugget About It Official,1.2
Science Max Official,0.52
Karma's World Official,6.87
Nine Story Extras,2.09
Fugget About It Official,2.72
Science Max Official,6.08
Karma's World Official,0.67
Nine Story Extras,2.91
Fugget About It Official,3.32
Science Max Official,6.9
Karma's World Official,4.44
Nine Story Extras,2.04
Fugget About It Official,4.59
Science Max Official,3.67
Karma's World Official,1.28
Nine Story Extras,1.07
Fugget About It Official,3.6
Science Max Official,5.34
Karma's World Official,0.39
Nine Story Extras,3.12
Fugget About It Official,2.58
Science Max Official,1.01
Karma's World Official,6.8
Nine Story Extras,1.72
Fugget About It Official,1.34
Science Max Official,5.2
Karma's World Official,1.7
Nine Story Extras,5.42
Fugget About It Official,6.33
Science Max Official,1.11
Karma's World Official,1.17
Nine Story Extras,7.22
