YouTube red_music rawdata video report - synthetic fixture
Country,Asset ID,Custom ID,Video Title,Partner Revenue
US,AID8000000,dtnb_ep01_001,Daniel Tiger's Neighborhood Episode Song 1,11.64
MX,AID8000001,dtnb_ep01_002,Daniel Tiger's Neighborhood Episode Song 2,23.9
IN,AID8000002,dtnb_ep01_003,Daniel Tiger's Neighborhood Episode Song 3,32.2
BR,AID8000003,dtnb_ep01_004,Daniel Tiger's Neighborhood Episode Song 4,9.98
AU,AID8000004,dtnb_ep01_005,Daniel Tiger's Neighborhood Episode Song 5,34.45
MX,AID8000005,dtnb_ep01_006,Daniel Tiger's Neighborhood Episode Song 6,29.2
MX,AID8000006,dtnb_ep01_007,Daniel Tiger's Neighborhood Episode Song 7,36.89
US,AID8000007,dtnb_ep01_008,Daniel Tiger's Neighborhood Episode Song 8,22.41
MX,AID8000008,dtnb_ep01_009,Daniel Tiger's Neighborhood Episode Song 9,0.54
AU,AID8000009,dtnb_ep01_010,Daniel Tiger's Neighborhood Episode Song 10,12.85
DE,AID8000010,dtnb_ep02_001,Daniel Tiger's Neighborhood Episode Song 11,12.91
CA,AID8000011,dtnb_ep02_002,Daniel Tiger's Neighborhood Episode Song 12,38.78
CA,AID8000012,dtnb_ep02_003,Daniel Tiger's Neighborhood Episode Song 13,9.85
JP,AID8000013,dtnb_ep02_004,Daniel Tiger's Neighborhood Episode Song 14,27.91
BR,AID8000014,dtnb_ep02_005,Daniel Tiger's Neighborhood Episode Song 15,28.02
GB,AID8000015,dtnb_ep02_006,Daniel Tiger's Neighborhood Episode Song 16,15.1
BR,AID8000016,dtnb_ep02_007,Daniel Tiger's Neighborhood Episode Song 17,23.25
IN,AID8000017,dtnb_ep02_008,Daniel Tiger's Neighborhood Episode Song 18,24.74
AU,AID8000018,dtnb_ep02_009,Daniel Tiger's Neighborhood Episode Song 19,30.39
FR,AID8000019,dtnb_ep02_010,Daniel Tiger's Neighborhood Episode Song 20,4.95
FR,AID8000020,dtnb_ep03_001,Daniel Tiger's Neighborhood Episode Song 21,17.61
AU,AID8000021,dtnb_ep03_002,Daniel Tiger's Neighborhood Episode Song 22,27.93
GB,AID8000022,dtnb_ep03_003,Daniel Tiger's Neighborhood Episode Song 23,10.21
DE,AID8000023,dtnb_ep03_004,Daniel Tiger's Neighborhood Episode Song 24,28.2
FR,AID8000024,dtnb_ep03_005,Daniel Tiger's Neighborhood Episode Song 25,4.05
IN,AID8000025,dtnb_ep03_006,Daniel Tiger's Neighborhood Episode Song 26,9.96
MX,AID8000026,dtnb_ep03_007,Daniel Tiger's Neighborhood Episode Song 27,35.17
US,AID8000027,dtnb_ep03_008,Daniel Tiger's Neighborhood Episode Song 28,35.24
DE,AID8000028,dtnb_ep03_009,Daniel Tiger's Neighborhood Episode Song 29,7.73
BR,AID8000029,dtnb_ep03_010,Daniel Tiger's Neighborhood Episode Song 30,24.82
IN,AID8000030,dtnb_badrow_001,Daniel Tiger's Neighborhood Episode Song 1,9.91
FR,AID8000031,dtnb_badrow_002,Daniel Tiger's Neighborhood Episode Song 2,23.57
MX,AID8000032,dtnb_badrow_003,Daniel Tiger's Neighborhood Episode Song 3,30.92
GB,AID8000033,garf_ep_001,Garfield and Friends Episode Song 4,22.82
BR,AID8000034,garf_ep_002,Garfield and Friends Episode Song 5,17.86
AU,AID8000035,garf_ep_003,Garfield and Friends Episode Song 6,29.06
CA,AID8000036,garf_ep_004,Garfield and Friends Episode Song 7,29.35
US,AID8000037,garf_ep_005,Garfield and Friends Episode Song 8,12.4
JP,AID8000038,garf_ep_006,Garfield and Friends Episode Song 9,19.09
