YouTube red_rawdata asset report - synthetic fixture
Country,Asset ID,Custom ID,Asset Title,Asset Labels,Partner Revenue
AU,AID0000000,dtnb_ep01_001,Daniel Tiger's Neighborhood Episode 1,,33.43
GB,AID0000001,dtnb_ep01_002,Daniel Tiger's Neighborhood Episode 2,,33.02
AU,AID0000002,dtnb_ep01_003,Daniel Tiger's Neighborhood Episode 3,,24.29
BR,AID0000003,dtnb_ep01_004,Daniel Tiger's Neighborhood Episode 4,,31.41
CA,AID0000004,dtnb_ep01_005,Daniel Tiger's Neighborhood Episode 5,,1.65
DE,AID0000005,dtnb_ep01_006,Daniel Tiger's Neighborhood Episode 6,,33.3
MX,AID0000006,dtnb_ep01_007,Daniel Tiger's Neighborhood Episode 7,,14.92
CA,AID0000007,dtnb_ep01_008,Daniel Tiger's Neighborhood Episode 8,,27.33
IN,AID0000008,dtnb_ep01_009,Daniel Tiger's Neighborhood Episode 9,,35.9
DE,AID0000009,dtnb_ep01_010,Daniel Tiger's Neighborhood Episode 10,,34.17
JP,AID0000010,dtnb_ep02_001,Daniel Tiger's Neighborhood Episode 11,,21.97
AU,AID0000011,dtnb_ep02_002,Daniel Tiger's Neighborhood Episode 12,,8.13
IN,AID0000012,dtnb_ep02_003,Daniel Tiger's Neighborhood Episode 13,,33.3
IN,AID0000013,dtnb_ep02_004,Daniel Tiger's Neighborhood Episode 14,,26.31
GB,AID0000014,dtnb_ep02_005,Daniel Tiger's Neighborhood Episode 15,,16.92
IN,AID0000015,dtnb_ep02_006,Daniel Tiger's Neighborhood Episode 16,,13.18
JP,AID0000016,dtnb_ep02_007,Daniel Tiger's Neighborhood Episode 17,,9.95
FR,AID0000017,dtnb_ep02_008,Daniel Tiger's Neighborhood Episode 18,,39.04
DE,AID0000018,dtnb_ep02_009,Daniel Tiger's Neighborhood Episode 19,,3.54
BR,AID0000019,dtnb_ep02_010,Daniel Tiger's Neighborhood Episode 20,,15.62
FR,AID0000020,dtnb_ep03_001,Daniel Tiger's Neighborhood Episode 21,,7.76
MX,AID0000021,dtnb_ep03_002,Daniel Tiger's Neighborhood Episode 22,,2.39
AU,AID0000022,dtnb_ep03_003,Daniel Tiger's Neighborhood Episode 23,,39.9
AU,AID0000023,dtnb_ep03_004,Daniel Tiger's Neighborhood Episode 24,,29.55
