Country,Asset ID,Custom ID,Asset Title,Partner Revenue
CA,AID0000280,dtnb_ep02_007,Daniel Tiger's Neighborhood Episode 1,34.85
GB,AID0000281,dtnb_ep02_008,Daniel Tiger's Neighborhood Episode 2,37.17
JP,AID0000282,dtnb_ep02_009,Daniel Tiger's Neighborhood Episode 3,20.26
US,AID0000283,dtnb_ep02_010,Daniel Tiger's Neighborhood Episode 4,14.71
FR,AID0000284,dtnb_ep03_001,Daniel Tiger's Neighborhood Episode 5,20.64
BR,AID0000285,dtnb_ep03_002,Daniel Tiger's Neighborhood Episode 6,17.56
AU,AID0000286,dtnb_ep03_003,Daniel Tiger's Neighborhood Episode 7,30.69
FR,AID0000287,dtnb_ep03_004,Daniel Tiger's Neighborhood Episode 8,22.32
AU,AID0000288,dtnb_ep03_005,Daniel Tiger's Neighborhood Episode 9,12.49
BR,AID0000289,dtnb_ep03_006,Daniel Tiger's Neighborhood Episode 10,13.73
GB,AID0000290,dtnb_ep03_007,Daniel Tiger's Neighborhood Episode 11,27.78
US,AID0000291,dtnb_ep03_008,Daniel Tiger's Neighborhood Episode 12,7.72
MX,AID0000292,dtnb_ep03_009,Daniel Tiger's Neighborhood Episode 13,7.72
US,AID0000293,dtnb_ep03_010,Daniel Tiger's Neighborhood Episode 14,38.17
MX,AID0000294,dtnb_badrow_001,Daniel Tiger's Neighborhood Episode 15,6.9
US,AID0000295,dtnb_badrow_002,Daniel Tiger's Neighborhood Episode 16,6.59
BR,AID0000296,dtnb_badrow_003,Daniel Tiger's Neighborhood Episode 17,18.09
US,AID0000297,garf_ep_001,Garfield and Friends Episode 18,26.96
AU,AID0000298,garf_ep_002,Garfield and Friends Episode 19,25.54
US,AID0000299,garf_ep_003,Garfield and Friends Episode 20,7.59
MX,AID0000300,garf_ep_004,Garfield and Friends Episode 21,25.8
IN,AID0000301,garf_ep_005,Garfield and Friends Episode 22,26.29
FR,AID0000302,garf_ep_006,Garfield and Friends Episode 23,21.0
DE,AID0000303,garf_ep_007,Garfield and Friends Episode 24,15.09
MX,AID0000304,garf_ep_008,Garfield and Friends Episode 25,15.38
BR,AID0000305,garf_ep_009,Garfield and Friends Episode 26,17.59
MX,AID0000306,garf_ep_010,Garfield and Friends Episode 27,26.04
US,AID0000307,garf_extra_001,Garfield and Friends Episode 28,2.26
JP,AID0000308,garf_extra_002,Garfield and Friends Episode 29,35.47
IN,AID0000309,garf_extra_003,Garfield and Friends Episode 30,5.82
IN,AID0000310,garf_extra_004,Garfield and Friends Episode 31,0.75
MX,AID0000311,garf_extra_005,Garfield and Friends Episode 32,21.47
MX,AID0000312,arth_ep16_001,Arthur Episode 33,13.19
DE,AID0000313,arth_ep16_002,Arthur Episode 34,21.19
FR,AID0000314,arth_ep16_003,Arthur Episode 35,34.1
US,AID0000315,arth_ep16_004,Arthur Episode 36,24.9
AU,AID0000316,arth_ep16_005,Arthur Episode 37,11.24
DE,AID0000317,arth_ep17_001,Arthur Episode 38,32.41
BR,AID0000318,arth_ep17_002,Arthur Episode 39,10.66
BR,AID0000319,arth_ep17_003,Arthur Episode 40,23.63
AU,AID0000320,arth_ep17_004,Arthur Episode 1,35.38
GB,AID0000321,arth_ep17_005,Arthur Episode 2,4.84
FR,AID0000322,arth_ep18_001,Arthur Episode 3,4.48
FR,AID0000323,arth_ep18_002,Arthur Episode 4,23.56
MX,AID0000324,arth_ep18_003,Arthur Episode 5,16.21
JP,AID0000325,arth_ep18_004,Arthur Episode 6,17.94
GB,AID0000326,arth_ep18_005,Arthur Episode 7,9.95
DE,AID0000327,arth_ep19_001,Arthur Episode 8,4.56
MX,AID0000328,arth_ep19_002,Arthur Episode 9,9.94
