Video ID,Video Title,Net Partner Revenue (Post revshare)
VD0001,Shorts Clip 1,0.96
VD0002,Shorts Clip 2,4.17
VD0003,Shorts Clip 3,0.96
VD0004,Shorts Clip 4,2.41
VD0005,Shorts Clip 5,1.52
VD0006,Shorts Clip 6,1.33
VD0007,Shorts Clip 7,1.43
VD0008,Shorts Clip 8,1.93
VD0009,Shorts Clip 9,3.5
VD0010,Shorts Clip 10,1.82
VD0011,Shorts Clip 11,3.81
VD0012,Shorts Clip 12,3.44
VD0013,Shorts Clip 13,3.3
VD0014,Shorts Clip 14,4.87
VD0015,Shorts Clip 15,0.94
VD0016,Shorts Clip 16,0.42
VD0017,Shorts Clip 17,1.83
VD0018,Shorts Clip 18,0.3
VD0019,Shorts Clip 19,1.48
VD0020,Shorts Clip 20,3.74
VD0021,Shorts Clip 21,4.49
VD0022,Shorts Clip 22,0.38
VD0023,Shorts Clip 23,4.68
VD0024,Shorts Clip 24,4.25
VD0025,Shorts Clip 25,0.52
VD0026,Shorts Clip 26,2.9
VD0027,Shorts Clip 27,4.98
VD0028,Shorts Clip 28,3.04
VD0029,Shorts Clip 29,3.66
VD0030,Shorts Clip 30,1.9
VD0031,Shorts Clip 31,1.49
VD0032,Shorts Clip 32,4.65
VD0033,Shorts Clip 33,1.22
VD0034,Shorts Clip 34,3.52
VD0035,Shorts Clip 35,0.79
VD0036,Shorts Clip 36,2.35
VD0037,Shorts Clip 37,2.94
VD0038,Shorts Clip 38,3.23
VD0039,Shorts Clip 39,4.5
VD0040,Shorts Clip 40,1.89
VD0041,Shorts Clip 41,4.12
VD0042,Shorts Clip 42,0.28
VD0043,Shorts Clip 43,2.0
VD0044,Shorts Clip 44,4.84
VD0045,Shorts Clip 45,1.09
VD0046,Shorts Clip 46,4.51
VD0047,Shorts Clip 47,3.09
VD0048,Shorts Clip 48,2.68
VD0049,Shorts Clip 49,1.25
VD0050,Shorts Clip 50,0.08
VD0051,Shorts Clip 51,1.87
VD0052,Shorts Clip 52,0.17
VD0053,Shorts Clip 53,4.71
VD0054,Shorts Clip 54,2.54
VD0055,Shorts Clip 55,2.11
VD0056,Shorts Clip 56,0.56
VD0057,Shorts Clip 57,3.54
VD0058,Shorts Clip 58,4.29
VD0059,Shorts Clip 59,4.43
VD0060,Shorts Clip 60,4.87
VD0061,Shorts Clip 61,2.98
VD0062,Shorts Clip 62,0.43
VD0063,Shorts Clip 63,3.93
VD0064,Shorts Clip 64,4.54
VD0065,Shorts Clip 65,4.98
VD0066,Shorts Clip 66,3.88
VD0067,Shorts Clip 67,0.28
VD0068,Shorts Clip 68,0.53
VD0069,Shorts Clip 69,1.82
VD0070,Shorts Clip 70,2.3
VD0071,Shorts Clip 71,0.12
VD0072,Shorts Clip 72,0.74
VD0073,Shorts Clip 73,1.16
VD0074,Shorts Clip 74,2.88
VD0075,Shorts Clip 75,3.15
VD0076,Shorts Clip 76,3.75
VD0077,Shorts Clip 77,4.4
VD0078,Shorts Clip 78,4.83
VD0079,Shorts Clip 79,4.41
VD0080,Shorts Clip 80,1.63
VD0081,Shorts Clip 81,1.9
VD0082,Shorts Clip 82,2.28
VD0083,Shorts Clip 83,2.09
VD0084,Shorts Clip 84,0.15
VD0085,Shorts Clip 85,3.53
VD0086,Shorts Clip 86,4.31
VD0087,Shorts Clip 87,0.32
VD0088,Shorts Clip 88,2.1
VD0089,Shorts Clip 89,4.48
VD0090,Shorts Clip 90,3.62
VD0091,Shorts Clip 91,0.69
VD0092,Shorts Clip 92,1.16
VD0093,Shorts Clip 93,0.63
VD0094,Shorts Clip 94,4.95
VD0095,Shorts Clip 95,3.69
VD0096,Shorts Clip 96,3.3
VD0097,Shorts Clip 97,2.48
VD0098,Shorts Clip 98,4.93
VD0099,Shorts Clip 99,3.95
VD0100,Shorts Clip 100,2.56
VD0101,Shorts Clip 101,0.74
VD0102,Shorts Clip 102,2.45
VD0103,Shorts Clip 103,0.9
VD0104,Shorts Clip 104,4.49
VD0105,Shorts Clip 105,2.73
VD0106,Shorts Clip 106,1.37
VD0107,Shorts Clip 107,3.18
VD0108,Shorts Clip 108,2.91
VD0109,Shorts Clip 109,2.1
VD0110,Shorts Clip 110,1.17
VD0111,Shorts Clip 111,2.93
VD0112,Shorts Clip 112,0.95
VD0113,Shorts Clip 113,4.29
VD0114,Shorts Clip 114,2.84
VD0115,Shorts Clip 115,3.87
VD0116,Shorts Clip 116,4.41
VD0117,Shorts Clip 117,4.02
VD0118,Shorts Clip 118,3.24
VD0119,Shorts Clip 119,4.09
VD0120,Shorts Clip 120,4.36
VD0900,Daniel Tiger Shorts Mix,2.33
VD0901,Random Shorts Mix 1,0.38
VD0902,Random Shorts Mix 2,4.28
