YouTube shorts subscription video summary - synthetic fixture
Country,Video ID,Custom ID,Video Title,Partner Revenue
JP,VD0001,dtnb_ep01_001,Shorts Video 1,4.51
CA,VD0002,dtnb_ep01_002,Shorts Video 2,3.41
US,VD0003,dtnb_ep01_003,Shorts Video 3,4.94
US,VD0004,dtnb_ep01_004,Shorts Video 4,3.56
JP,VD0005,dtnb_ep01_005,Shorts Video 5,3.95
AU,VD0006,dtnb_ep01_006,Shorts Video 6,1.54
AU,VD0007,dtnb_ep01_007,Shorts Video 7,3.72
US,VD0008,dtnb_ep01_008,Shorts Video 8,0.57
GB,VD0009,dtnb_ep01_009,Shorts Video 9,4.55
MX,VD0010,dtnb_ep01_010,Shorts Video 10,4.39
JP,VD0011,dtnb_ep02_001,Shorts Video 11,1.8
IN,VD0012,dtnb_ep02_002,Shorts Video 12,0.3
DE,VD0013,dtnb_ep02_003,Shorts Video 13,1.12
CA,VD0014,dtnb_ep02_004,Shorts Video 14,2.65
FR,VD0015,dtnb_ep02_005,Shorts Video 15,4.62
DE,VD0016,dtnb_ep02_006,Shorts Video 16,4.55
JP,VD0017,dtnb_ep02_007,Shorts Video 17,4.36
AU,VD0018,dtnb_ep02_008,Shorts Video 18,2.66
CA,VD0019,dtnb_ep02_009,Shorts Video 19,1.04
DE,VD0020,dtnb_ep02_010,Shorts Video 20,1.77
IN,VD0021,dtnb_ep03_001,Shorts Video 21,2.86
CA,VD0022,dtnb_ep03_002,Shorts Video 22,0.89
JP,VD0023,dtnb_ep03_003,Shorts Video 23,3.36
MX,VD0024,dtnb_ep03_004,Shorts Video 24,0.43
GB,VD0025,dtnb_ep03_005,Shorts Video 25,4.43
BR,VD0026,dtnb_ep03_006,Shorts Video 26,3.13
US,VD0027,dtnb_ep03_007,Shorts Video 27,1.99
JP,VD0028,dtnb_ep03_008,Shorts Video 28,3.08
FR,VD0029,dtnb_ep03_009,Shorts Video 29,2.94
GB,VD0030,dtnb_ep03_010,Shorts Video 30,0.97
DE,VD0031,dtnb_badrow_001,Shorts Video 31,4.6
IN,VD0032,dtnb_badrow_002,Shorts Video 32,1.39
US,VD0033,dtnb_badrow_003,Shorts Video 33,2.35
JP,VD0034,garf_ep_001,Shorts Video 34,3.12
BR,VD0035,garf_ep_002,Shorts Video 35,1.42
DE,VD0036,garf_ep_003,Shorts Video 36,1.3
JP,VD0037,garf_ep_004,Shorts Video 37,0.32
GB,VD0038,garf_ep_005,Shorts Video 38,2.79
JP,VD0039,garf_ep_006,Shorts Video 39,3.68
FR,VD0040,garf_ep_007,Shorts Video 40,3.15
CA,VD0041,garf_ep_008,Shorts Video 41,3.0
FR,VD0042,garf_ep_009,Shorts Video 42,2.09
US,VD0043,garf_ep_010,Shorts Video 43,1.75
BR,VD0044,garf_extra_001,Shorts Video 44,3.9
DE,VD0045,garf_extra_002,Shorts Video 45,1.16
CA,VD0046,garf_extra_003,Shorts Video 46,4.4
FR,VD0047,garf_extra_004,Shorts Video 47,0.57
MX,VD0048,garf_extra_005,Shorts Video 48,3.77
JP,VD0049,garf_film_001,Shorts Video 49,4.72
DE,VD0050,garf_film_002,Shorts Video 50,1.14
JP,VD0051,arth_ep16_001,Shorts Video 51,2.75
MX,VD0052,arth_ep16_002,Shorts Video 52,2.08
BR,VD0053,arth_ep16_003,Shorts Video 53,4.54
MX,VD0054,arth_ep16_004,Shorts Video 54,4.7
IN,VD0055,arth_ep16_005,Shorts Video 55,1.32
DE,VD0056,arth_ep17_001,Shorts Video 56,4.41
DE,VD0057,arth_ep17_002,Shorts Video 57,0.38
US,VD0058,arth_ep17_003,Shorts Video 58,2.47
US,VD0059,arth_ep17_004,Shorts Video 59,4.28
MX,VD0060,arth_ep17_005,Shorts Video 60,3.93
DE,VD0061,arth_ep18_001,Shorts Video 61,4.28
IN,VD0062,arth_ep18_002,Shorts Video 62,4.04
DE,VD0063,arth_ep18_003,Shorts Video 63,4.7
DE,VD0064,arth_ep18_004,Shorts Video 64,0.69
CA,VD0065,arth_ep18_005,Shorts Video 65,4.48
JP,VD0066,arth_ep19_001,Shorts Video 66,3.87
GB,VD0067,arth_ep19_002,Shorts Video 67,4.99
IN,VD0068,arth_ep19_003,Shorts Video 68,4.12
IN,VD0069,arth_ep19_004,Shorts Video 69,3.8
MX,VD0070,arth_ep19_005,Shorts Video 70,2.78
IN,VD0071,anne_ep_001,Shorts Video 71,0.9
FR,VD0072,anne_ep_002,Shorts Video 72,0.36
IN,VD0073,anne_ep_003,Shorts Video 73,4.9
FR,VD0074,anne_ep_004,Shorts Video 74,2.41
CA,VD0075,anne_ep_005,Shorts Video 75,0.71
IN,VD0076,scmx_ep03_001,Shorts Video 76,4.93
IN,VD0077,scmx_ep03_002,Shorts Video 77,2.94
CA,VD0078,scmx_ep03_003,Shorts Video 78,3.12
GB,VD0079,scmx_ep03_004,Shorts Video 79,1.39
JP,VD0080,scmx_ep03_005,Shorts Video 80,1.83
US,VD0081,scmx_ep05_001,Shorts Video 81,2.65
MX,VD0082,scmx_ep05_002,Shorts Video 82,2.07
CA,VD0083,scmx_ep05_003,Shorts Video 83,1.82
US,VD0084,scmx_ep05_004,Shorts Video 84,4.77
BR,VD0085,scmx_ep05_005,Shorts Video 85,1.39
AU,VD0086,krma_ep_001,Shorts Video 86,2.33
MX,VD0087,krma_ep_002,Shorts Video 87,2.61
MX,VD0088,krma_ep_003,Shorts Video 88,1.55
US,VD0089,krma_ep_004,Shorts Video 89,3.07
AU,VD0090,krma_ep_005,Shorts Video 90,4.31
IN,VD0091,dtnb_ep01_001,Shorts Video 91,4.77
GB,VD0092,dtnb_ep01_002,Shorts Video 92,2.26
BR,VD0093,dtnb_ep01_003,Shorts Video 93,2.92
JP,VD0094,dtnb_ep01_004,Shorts Video 94,3.06
GB,VD0095,dtnb_ep01_005,Shorts Video 95,2.72
US,VD0096,dtnb_ep01_006,Shorts Video 96,0.22
GB,VD0097,dtnb_ep01_007,Shorts Video 97,0.49
IN,VD0098,dtnb_ep01_008,Shorts Video 98,0.41
FR,VD0099,dtnb_ep01_009,Shorts Video 99,2.04
JP,VD0100,dtnb_ep01_010,Shorts Video 100,3.33
CA,VD0101,dtnb_ep02_001,Shorts Video 101,0.65
US,VD0102,dtnb_ep02_002,Shorts Video 102,4.52
AU,VD0103,dtnb_ep02_003,Shorts Video 103,3.1
GB,VD0104,dtnb_ep02_004,Shorts Video 104,2.11
IN,VD0105,dtnb_ep02_005,Shorts Video 105,1.68
AU,VD0106,dtnb_ep02_006,Shorts Video 106,2.91
US,VD0107,dtnb_ep02_007,Shorts Video 107,2.62
GB,VD0108,dtnb_ep02_008,Shorts Video 108,2.66
IN,VD0109,dtnb_ep02_009,Shorts Video 109,4.95
US,VD0110,dtnb_ep02_010,Shorts Video 110,4.25
DE,VD0111,dtnb_ep03_001,Shorts Video 111,4.49
CA,VD0112,dtnb_ep03_002,Shorts Video 112,3.31
MX,VD0113,dtnb_ep03_003,Shorts Video 113,3.41
US,VD0114,dtnb_ep03_004,Shorts Video 114,1.19
DE,VD0115,dtnb_ep03_005,Shorts Video 115,3.76
FR,VD0116,dtnb_ep03_006,Shorts Video 116,2.31
JP,VD0117,dtnb_ep03_007,Shorts Video 117,1.83
IN,VD0118,dtnb_ep03_008,Shorts Video 118,2.85
IN,VD0119,dtnb_ep03_009,Shorts Video 119,1.76
BR,VD0120,dtnb_ep03_010,Shorts Video 120,2.29
DE,VD0121,dtnb_badrow_001,Shorts Video 121,1.8
GB,VD0122,dtnb_badrow_002,Shorts Video 122,1.04
AU,VD0123,dtnb_badrow_003,Shorts Video 123,2.67
FR,VD0124,garf_ep_001,Shorts Video 124,4.38
US,VD0125,garf_ep_002,Shorts Video 125,1.71
AU,VD0126,garf_ep_003,Shorts Video 126,3.72
JP,VD0127,garf_ep_004,Shorts Video 127,1.25
JP,VD0128,garf_ep_005,Shorts Video 128,0.18
JP,VD0129,garf_ep_006,Shorts Video 129,1.18
IN,VD0130,garf_ep_007,Shorts Video 130,2.5
AU,VD0131,garf_ep_008,Shorts Video 131,2.42
JP,VD0132,garf_ep_009,Shorts Video 132,3.39
JP,VD0133,garf_ep_010,Shorts Video 133,4.39
DE,VD0134,garf_extra_001,Shorts Video 134,2.98
CA,VD0135,garf_extra_002,Shorts Video 135,2.1
JP,VD0136,garf_extra_003,Shorts Video 136,1.75
JP,VD0137,garf_extra_004,Shorts Video 137,4.97
IN,VD0138,garf_extra_005,Shorts Video 138,2.4
IN,VD0139,garf_film_001,Shorts Video 139,1.82
CA,VD0140,garf_film_002,Shorts Video 140,4.4
IN,VD0141,arth_ep16_001,Shorts Video 141,2.87
IN,VD0142,arth_ep16_002,Shorts Video 142,0.53
DE,VD0143,arth_ep16_003,Shorts Video 143,4.96
US,VD0144,arth_ep16_004,Shorts Video 144,1.67
